journée,date_time,home_team,away_team,1st_home_team_goal,1st_away_team_goal,1st_total_goal,2nd_home_team_goal,2nd_away_team_goal,2nd_total_goal,total_home_team_goal,total_away_team_goal,global
34,2023-05-27 13:30,B. Monchengladbach,Augsburg,2,0,2,0,0,0,2,0,2
34,2023-05-27 13:30,RB Leipzig,Schalke,2,1,3,2,1,3,4,2,6
34,2023-05-27 13:30,Wolfsburg,Hertha Berlin,1,0,1,0,2,2,1,2,3
34,2023-05-27 13:30,Union Berlin,Werder Bremen,0,0,0,1,0,1,1,0,1
34,2023-05-27 13:30,Stuttgart,Hoffenheim,0,0,0,1,1,2,1,1,2
34,2023-05-27 13:30,Bochum,Bayer Leverkusen,2,0,2,1,0,1,3,0,3
34,2023-05-27 13:30,FC Koln,Bayern Munich,0,1,1,1,1,2,1,2,3
34,2023-05-27 13:30,Dortmund,Mainz,0,2,2,2,0,2,2,2,4
34,2023-05-27 13:30,Eintracht Frankfurt,Freiburg,0,1,1,2,0,2,2,1,3
33,2023-05-21 17:30,Bayer Leverkusen,B. Monchengladbach,2,0,2,0,2,2,2,2,4
33,2023-05-21 15:30,Augsburg,Dortmund,0,0,0,0,3,3,0,3,3
33,2023-05-21 13:30,Mainz,Stuttgart,1,1,2,0,3,3,1,4,5
33,2023-05-20 16:30,Bayern Munich,RB Leipzig,1,0,1,0,3,3,1,3,4
33,2023-05-20 13:30,Hertha Berlin,Bochum,0,0,0,1,1,2,1,1,2
33,2023-05-20 13:30,Hoffenheim,Union Berlin,2,1,3,2,1,3,4,2,6
33,2023-05-20 13:30,Schalke,Eintracht Frankfurt,1,1,2,1,1,2,2,2,4
33,2023-05-20 13:30,Werder Bremen,FC Koln,0,1,1,1,0,1,1,1,2
33,2023-05-19 18:30,Freiburg,Wolfsburg,0,0,0,2,0,2,2,0,2
32,2023-05-14 15:30,RB Leipzig,Werder Bremen,0,0,0,2,1,3,2,1,3
32,2023-05-14 13:30,Stuttgart,Bayer Leverkusen,0,0,0,1,1,2,1,1,2
32,2023-05-13 16:30,Dortmund,B. Monchengladbach,4,0,4,1,2,3,5,2,7
32,2023-05-13 13:30,Union Berlin,Freiburg,3,0,3,1,2,3,4,2,6
32,2023-05-13 13:30,Wolfsburg,Hoffenheim,1,0,1,1,1,2,2,1,3
32,2023-05-13 13:30,Eintracht Frankfurt,Mainz,2,0,2,1,0,1,3,0,3
32,2023-05-13 13:30,Bayern Munich,Schalke,2,0,2,4,0,4,6,0,6
32,2023-05-13 13:30,Bochum,Augsburg,1,1,2,2,1,3,3,2,5
32,2023-05-12 18:30,FC Koln,Hertha Berlin,3,2,5,2,0,2,5,2,7
