Unnamed: 0,mp,date_time,home_team,away_team,1st_home_goal,1st_away_goal,1st_total_goal,2nd_home_goal,2nd_away_goal,2nd_total_goal,total_home_goal,total_away_goal,global
0,34,2023-05-28 12:30,Cambuur,Waalwijk,2,0,2,2,0,2,4,0,4
1,34,2023-05-28 12:30,AZ Alkmaar,PSV,0,0,0,1,2,3,1,2,3
2,34,2023-05-28 12:30,FC Volendam,Excelsior,3,0,3,0,2,2,3,2,5
3,34,2023-05-28 12:30,Feyenoord,Vitesse,0,1,1,0,0,0,0,1,1
4,34,2023-05-28 12:30,Groningen,Sparta Rotterdam,0,1,1,0,4,4,0,5,5
5,34,2023-05-28 12:30,Heerenveen,G.A. Eagles,1,0,1,1,0,1,2,0,2
6,34,2023-05-28 12:30,Sittard,Nijmegen,0,0,0,1,1,2,1,1,2
7,34,2023-05-28 12:30,Twente,Ajax,0,1,1,3,0,3,3,1,4
8,34,2023-05-28 12:30,Utrecht,FC Emmen,1,1,2,2,1,3,3,2,5
9,33,2023-05-21 12:30,Excelsior,Sittard,0,0,0,3,0,3,3,0,3
10,33,2023-05-21 12:30,Ajax,Utrecht,1,0,1,2,1,3,3,1,4
11,33,2023-05-21 12:30,Waalwijk,Twente,0,2,2,0,3,3,0,5,5
12,33,2023-05-21 12:30,Vitesse,Groningen,2,0,2,4,0,4,6,0,6
13,33,2023-05-21 12:30,Sparta Rotterdam,Cambuur,3,1,4,1,0,1,4,1,5
14,33,2023-05-21 12:30,PSV,Heerenveen,1,2,3,2,1,3,3,3,6
15,33,2023-05-21 12:30,Nijmegen,AZ Alkmaar,0,2,2,0,1,1,0,3,3
16,33,2023-05-21 12:30,G.A. Eagles,FC Volendam,1,0,1,2,0,2,3,0,3
17,33,2023-05-21 12:30,FC Emmen,Feyenoord,1,1,2,0,2,2,1,3,4
18,32,2023-05-16 13:00,Groningen,Ajax,1,1,2,1,2,3,2,3,5
19,32,2023-05-14 18:00,PSV,Sittard,1,1,2,1,0,1,2,1,3
20,32,2023-05-14 18:00,AZ Alkmaar,FC Emmen,5,0,5,0,1,1,5,1,6
21,32,2023-05-14 14:45,Feyenoord,G.A. Eagles,2,0,2,1,0,1,3,0,3
22,32,2023-05-14 10:15,Vitesse,Cambuur,0,0,0,2,0,2,2,0,2
23,32,2023-05-13 19:00,Utrecht,Waalwijk,0,0,0,2,0,2,2,0,2
24,32,2023-05-13 18:00,Heerenveen,Excelsior,0,0,0,0,0,0,0,0,0
25,32,2023-05-13 16:45,FC Volendam,Sparta Rotterdam,1,1,2,1,0,1,2,1,3
26,32,2023-05-12 18:00,Twente,Nijmegen,1,0,1,3,0,3,4,0,4
27,31,2023-05-07 14:45,Sittard,Vitesse,0,0,0,2,0,2,2,0,2
28,31,2023-05-07 12:30,G.A. Eagles,Groningen,1,1,2,0,0,0,1,1,2
29,31,2023-05-07 12:30,Excelsior,Feyenoord,0,1,1,0,1,1,0,2,2
30,31,2023-05-07 10:15,FC Emmen,Twente,0,0,0,0,3,3,0,3,3
31,31,2023-05-06 19:00,Ajax,AZ Alkmaar,0,0,0,0,0,0,0,0,0
32,31,2023-05-06 18:00,Nijmegen,Heerenveen,1,1,2,1,2,3,2,3,5
33,31,2023-05-06 18:00,Cambuur,Utrecht,0,2,2,0,1,1,0,3,3
34,31,2023-05-06 16:45,Sparta Rotterdam,PSV,0,0,0,0,1,1,0,1,1
35,31,2023-05-05 18:00,Waalwijk,FC Volendam,2,0,2,2,1,3,4,1,5
36,30,2023-04-25 13:00,Groningen,Nijmegen,0,0,0,0,1,1,0,1,1
37,30,2023-04-23 18:00,AZ Alkmaar,Waalwijk,1,0,1,2,0,2,3,0,3
38,30,2023-04-23 14:45,Feyenoord,Utrecht,1,0,1,2,1,3,3,1,4
39,30,2023-04-23 12:30,G.A. Eagles,Sittard,1,0,1,1,0,1,2,0,2
40,30,2023-04-23 12:30,PSV,Ajax,1,0,1,2,0,2,3,0,3
41,30,2023-04-23 10:15,Twente,Sparta Rotterdam,1,2,3,2,1,3,3,3,6
42,30,2023-04-22 19:00,Vitesse,Excelsior,0,0,0,0,0,0,0,0,0
43,30,2023-04-22 16:45,Heerenveen,FC Emmen,1,0,1,1,3,4,2,3,5
44,30,2023-04-21 18:00,FC Volendam,Cambuur,1,0,1,1,0,1,2,0,2
45,25,2023-04-19 16:45,G.A. Eagles,Waalwijk,2,1,3,1,1,2,3,2,5
46,29,2023-04-16 18:00,Ajax,FC Emmen,2,0,2,1,1,2,3,1,4
47,29,2023-04-16 18:00,Sittard,AZ Alkmaar,0,2,2,0,1,1,0,3,3
48,29,2023-04-16 14:45,Cambuur,Feyenoord,0,1,1,0,2,2,0,3,3
49,29,2023-04-16 12:30,FC Volendam,PSV,0,2,2,2,1,3,2,3,5
50,29,2023-04-16 12:30,Utrecht,Twente,0,0,0,1,0,1,1,0,1
51,29,2023-04-16 10:15,Nijmegen,Vitesse,0,2,2,1,2,3,1,4,5
52,29,2023-04-15 19:00,Sparta Rotterdam,Heerenveen,1,0,1,3,0,3,4,0,4
53,29,2023-04-15 16:45,Waalwijk,Groningen,0,0,0,2,1,3,2,1,3
54,29,2023-04-14 18:00,Excelsior,G.A. Eagles,0,0,0,2,1,3,2,1,3
55,28,2023-04-09 18:00,Feyenoord,Waalwijk,3,0,3,2,1,3,5,1,6
56,28,2023-04-09 14:45,Ajax,Sittard,2,0,2,2,0,2,4,0,4
57,28,2023-04-09 12:30,FC Emmen,Nijmegen,0,0,0,0,0,0,0,0,0
58,28,2023-04-09 10:15,Twente,Cambuur,3,0,3,1,0,1,4,0,4
59,28,2023-04-08 19:00,Heerenveen,FC Volendam,2,1,3,0,0,0,2,1,3
60,28,2023-04-08 18:00,PSV,Excelsior,1,0,1,3,0,3,4,0,4
61,28,2023-04-08 18:00,AZ Alkmaar,Sparta Rotterdam,0,1,1,0,0,0,0,1,1
62,28,2023-04-08 16:45,Vitesse,G.A. Eagles,1,0,1,1,0,1,2,0,2
63,28,2023-04-07 18:00,Groningen,Utrecht,1,1,2,0,1,1,1,2,3
64,27,2023-04-02 14:45,Sittard,Groningen,2,0,2,1,1,2,3,1,4
65,27,2023-04-02 12:30,Utrecht,FC Volendam,0,0,0,0,0,0,0,0,0
66,27,2023-04-02 12:30,Sparta Rotterdam,Feyenoord,1,1,2,0,2,2,1,3,4
67,27,2023-04-02 10:15,G.A. Eagles,Ajax,0,0,0,0,0,0,0,0,0
68,27,2023-04-01 19:00,Waalwijk,Vitesse,1,0,1,0,0,0,1,0,1
69,27,2023-04-01 18:00,Cambuur,FC Emmen,0,0,0,1,2,3,1,2,3
70,27,2023-04-01 18:00,Nijmegen,PSV,0,3,3,2,1,3,2,4,6
71,27,2023-04-01 16:45,Excelsior,Twente,0,0,0,0,0,0,0,0,0
72,27,2023-04-01 14:30,AZ Alkmaar,Heerenveen,0,1,1,1,0,1,1,1,2
73,26,2023-03-19 19:00,Twente,AZ Alkmaar,2,0,2,0,1,1,2,1,3
74,26,2023-03-19 15:45,Vitesse,PSV,0,1,1,1,0,1,1,1,2
75,26,2023-03-19 13:30,Excelsior,Cambuur,4,0,4,0,1,1,4,1,5
76,26,2023-03-19 13:30,Ajax,Feyenoord,2,1,3,0,2,2,2,3,5
77,26,2023-03-19 11:15,Groningen,Heerenveen,0,2,2,0,0,0,0,2,2
78,26,2023-03-18 20:00,Waalwijk,Nijmegen,0,3,3,1,0,1,1,3,4
