journée,date_time,home_team,away_team,1st_home_team_goal,1st_away_team_goal,1st_total_goal,2nd_home_team_goal,2nd_away_team_goal,2nd_total_goal,total_home_team_goal,total_away_team_goal,global
27,2023-04-03 19:00,Valencia,Rayo Vallecano,0,1,1,1,0,1,1,1,2
27,2023-04-02 19:00,Atl. Madrid,Betis,0,0,0,1,0,1,1,0,1
27,2023-04-02 16:30,Villarreal,Real Sociedad,0,0,0,2,0,2,2,0,2
27,2023-04-02 14:15,Real Madrid,Valladolid,4,0,4,2,0,2,6,0,6
27,2023-04-02 12:00,Celta Vigo,Almeria,2,2,4,0,0,0,2,2,4
27,2023-04-01 19:00,Elche,Barcelona,0,1,1,0,3,3,0,4,4
27,2023-04-01 16:30,Cadiz CF,Sevilla,0,0,0,0,2,2,0,2,2
27,2023-04-01 14:15,Ath Bilbao,Getafe,0,0,0,0,0,0,0,0,0
27,2023-04-01 12:00,Girona,Espanyol,0,0,0,2,1,3,2,1,3
27,2023-03-31 19:00,Mallorca,Osasuna,0,0,0,0,0,0,0,0,0
26,2023-03-19 20:00,Barcelona,Real Madrid,1,1,2,1,0,1,2,1,3
26,2023-03-19 17:30,Getafe,Sevilla,0,0,0,2,0,2,2,0,2
26,2023-03-19 15:15,Osasuna,Villarreal,0,1,1,0,2,2,0,3,3
26,2023-03-19 15:15,Real Sociedad,Elche,0,0,0,2,0,2,2,0,2
26,2023-03-19 13:00,Betis,Mallorca,0,0,0,1,0,1,1,0,1
26,2023-03-18 20:00,Atl. Madrid,Valencia,1,0,1,2,0,2,3,0,3
26,2023-03-18 17:30,Espanyol,Celta Vigo,0,2,2,1,1,2,1,3,4
26,2023-03-18 15:15,Rayo Vallecano,Girona,2,1,3,0,1,1,2,2,4
26,2023-03-18 13:00,Almeria,Cadiz CF,0,0,0,1,1,2,1,1,2
26,2023-03-17 20:00,Valladolid,Ath Bilbao,0,1,1,1,2,3,1,3,4
25,2023-03-13 20:00,Girona,Atl. Madrid,0,0,0,0,1,1,0,1,1
25,2023-03-12 20:00,Ath Bilbao,Barcelona,0,1,1,0,0,0,0,1,1
25,2023-03-12 17:30,Villarreal,Betis,0,1,1,1,0,1,1,1,2
25,2023-03-12 15:15,Sevilla,Almeria,1,1,2,1,0,1,2,1,3
25,2023-03-12 13:00,Mallorca,Real Sociedad,0,1,1,1,0,1,1,1,2
25,2023-03-11 20:00,Valencia,Osasuna,0,0,0,1,0,1,1,0,1
25,2023-03-11 17:30,Celta Vigo,Rayo Vallecano,0,0,0,3,0,3,3,0,3
25,2023-03-11 15:15,Elche,Valladolid,0,1,1,1,0,1,1,1,2
25,2023-03-11 13:00,Real Madrid,Espanyol,2,1,3,1,0,1,3,1,4
25,2023-03-10 20:00,Cadiz CF,Getafe,1,0,1,1,2,3,2,2,4
24,2023-03-06 20:00,Osasuna,Celta Vigo,0,0,0,0,0,0,0,0,0
24,2023-03-05 20:00,Betis,Real Madrid,0,0,0,0,0,0,0,0,0
24,2023-03-05 17:30,Rayo Vallecano,Ath Bilbao,0,0,0,0,0,0,0,0,0
24,2023-03-05 15:15,Barcelona,Valencia,1,0,1,0,0,0,1,0,1
24,2023-03-05 13:00,Valladolid,Espanyol,1,0,1,1,1,2,2,1,3
24,2023-03-04 20:00,Atl. Madrid,Sevilla,2,1,3,4,0,4,6,1,7
24,2023-03-04 17:30,Mallorca,Elche,0,0,0,0,1,1,0,1,1
24,2023-03-04 15:15,Almeria,Villarreal,0,0,0,0,2,2,0,2,2
24,2023-03-04 13:00,Getafe,Girona,3,0,3,0,2,2,3,2,5
24,2023-03-03 20:00,Real Sociedad,Cadiz CF,0,0,0,0,0,0,0,0,0
23,2023-02-27 20:00,Villarreal,Getafe,1,1,2,1,0,1,2,1,3
23,2023-02-26 20:00,Sevilla,Osasuna,0,1,1,2,2,4,2,3,5
23,2023-02-26 17:30,Almeria,Barcelona,1,0,1,0,0,0,1,0,1
23,2023-02-26 15:15,Celta Vigo,Valladolid,2,0,2,1,0,1,3,0,3
23,2023-02-26 13:00,Ath Bilbao,Girona,1,3,4,1,0,1,2,3,5
23,2023-02-25 20:00,Valencia,Real Sociedad,1,0,1,0,0,0,1,0,1
23,2023-02-25 17:30,Real Madrid,Atl. Madrid,0,0,0,1,1,2,1,1,2
23,2023-02-25 15:15,Cadiz CF,Rayo Vallecano,0,0,0,1,0,1,1,0,1
23,2023-02-25 13:00,Espanyol,Mallorca,1,1,2,1,0,1,2,1,3
23,2023-02-24 20:00,Elche,Betis,2,0,2,0,3,3,2,3,5
22,2023-02-20 20:00,Getafe,Valencia,0,0,0,1,0,1,1,0,1
22,2023-02-19 20:00,Barcelona,Cadiz CF,2,0,2,0,0,0,2,0,2
22,2023-02-19 17:30,Atl. Madrid,Ath Bilbao,0,0,0,1,0,1,1,0,1
22,2023-02-19 15:15,Rayo Vallecano,Sevilla,0,1,1,1,0,1,1,1,2
22,2023-02-19 13:00,Elche,Espanyol,0,0,0,0,1,1,0,1,1
22,2023-02-18 20:00,Osasuna,Real Madrid,0,0,0,0,2,2,0,2,2
22,2023-02-18 17:30,Mallorca,Villarreal,2,1,3,2,1,3,4,2,6
22,2023-02-18 15:15,Betis,Valladolid,2,1,3,0,0,0,2,1,3
22,2023-02-18 13:00,Real Sociedad,Celta Vigo,1,0,1,0,1,1,1,1,2
22,2023-02-17 20:00,Girona,Almeria,4,0,4,2,2,4,6,2,8
21,2023-02-15 20:00,Real Madrid,Elche,3,0,3,1,0,1,4,0,4
21,2023-02-13 20:00,Espanyol,Real Sociedad,0,1,1,2,2,4,2,3,5
21,2023-02-12 20:00,Villarreal,Barcelona,0,1,1,0,0,0,0,1,1
21,2023-02-12 17:30,Valladolid,Osasuna,0,0,0,0,0,0,0,0,0
21,2023-02-12 15:15,Celta Vigo,Atl. Madrid,0,0,0,0,1,1,0,1,1
21,2023-02-12 13:00,Getafe,Rayo Vallecano,0,1,1,1,0,1,1,1,2
21,2023-02-11 20:00,Valencia,Ath Bilbao,1,1,2,0,1,1,1,2,3
21,2023-02-11 17:30,Sevilla,Mallorca,2,0,2,0,0,0,2,0,2
21,2023-02-11 15:15,Almeria,Betis,1,2,3,1,1,2,2,3,5
21,2023-02-10 20:00,Cadiz CF,Girona,2,0,2,0,0,0,2,0,2
20,2023-02-06 20:00,Rayo Vallecano,Almeria,0,0,0,2,0,2,2,0,2
20,2023-02-05 20:00,Barcelona,Sevilla,0,0,0,3,0,3,3,0,3
20,2023-02-05 17:30,Real Sociedad,Valladolid,0,0,0,0,1,1,0,1,1
20,2023-02-05 15:15,Girona,Valencia,0,0,0,1,0,1,1,0,1
20,2023-02-05 13:00,Mallorca,Real Madrid,1,0,1,0,0,0,1,0,1
20,2023-02-04 20:00,Betis,Celta Vigo,2,2,4,1,2,3,3,4,7
20,2023-02-04 17:30,Atl. Madrid,Getafe,0,0,0,1,1,2,1,1,2
20,2023-02-04 15:15,Elche,Villarreal,2,1,3,1,0,1,3,1,4
20,2023-02-04 13:00,Espanyol,Osasuna,0,1,1,1,0,1,1,1,2
20,2023-02-03 20:00,Ath Bilbao,Cadiz CF,3,1,4,1,0,1,4,1,5
17,2023-02-02 20:00,Real Madrid,Valencia,0,0,0,2,0,2,2,0,2
17,2023-02-01 20:00,Betis,Barcelona,0,0,0,1,2,3,1,2,3
19,2023-01-30 20:00,Villarreal,Rayo Vallecano,0,0,0,0,1,1,0,1,1
19,2023-01-29 20:00,Real Madrid,Real Sociedad,0,0,0,0,0,0,0,0,0
19,2023-01-29 17:30,Celta Vigo,Ath Bilbao,0,0,0,1,0,1,1,0,1
19,2023-01-29 15:15,Osasuna,Atl. Madrid,0,0,0,0,1,1,0,1,1
19,2023-01-29 13:00,Valladolid,Valencia,0,0,0,1,0,1,1,0,1
19,2023-01-28 20:00,Getafe,Betis,0,0,0,0,1,1,0,1,1
19,2023-01-28 17:30,Sevilla,Elche,3,0,3,0,0,0,3,0,3
19,2023-01-28 15:15,Girona,Barcelona,0,0,0,0,1,1,0,1,1
19,2023-01-28 13:00,Cadiz CF,Mallorca,2,0,2,0,0,0,2,0,2
19,2023-01-27 20:00,Almeria,Espanyol,1,0,1,2,1,3,3,1,4
18,2023-01-23 20:00,Valencia,Almeria,0,0,0,2,2,4,2,2,4
18,2023-01-22 20:00,Ath Bilbao,Real Madrid,0,1,1,0,1,1,0,2,2
