,journée,date_time,home_team,away_team,1st_home_team_goal,1st_away_team_goal,total_home_team_goal,total_away_team_goal,global
0,34,2023-05-27 19:30,Braga,Paços Ferreira,2,0,3,0,3
1,34,2023-05-27 17:00,Portimonense,Arouca,0,0,0,2,2
2,34,2023-05-27 17:00,Benfica,Santa Clara,2,0,3,0,3
3,34,2023-05-27 17:00,FC Porto,Guimaraes,3,0,3,0,3
4,34,2023-05-27 14:30,Chaves,Boavista,0,2,1,4,5
5,34,2023-05-27 14:30,Estoril,Maritimo,1,0,3,1,4
6,34,2023-05-27 11:45,Gil Vicente,Casa Pia,0,0,1,0,1
7,34,2023-05-26 20:15,Vizela,Sporting,1,1,1,2,3
8,34,2023-05-26 18:00,Rio Ave,Famalicao,0,2,2,2,4
9,34,2023-05-21 19:30,Sporting,Benfica,2,0,2,2,4
10,34,2023-05-21 17:00,Paços Ferreira,Rio Ave,1,1,3,1,4
11,34,2023-05-21 17:00,Casa Pia,Estoril,0,0,2,2,4
12,34,2023-05-21 14:30,Guimaraes,Gil Vicente,0,0,1,0,1
13,34,2023-05-20 19:30,Famalicao,FC Porto,2,2,2,4,6
14,34,2023-05-20 17:00,Boavista,Braga,0,0,1,1,2
15,34,2023-05-20 14:30,Arouca,Chaves,0,0,1,0,1
16,34,2023-05-20 14:30,Santa Clara,Portimonense,1,0,1,0,1
17,34,2023-05-19 19:15,Maritimo,Vizela,0,0,1,0,1
18,34,2023-05-15 19:15,Estoril,Arouca,0,0,2,0,2
19,34,2023-05-14 19:30,FC Porto,Casa Pia,0,1,2,1,3
20,34,2023-05-14 17:00,Braga,Santa Clara,3,1,5,3,8
21,34,2023-05-14 14:30,Rio Ave,Guimaraes,0,0,0,1,1
22,34,2023-05-13 19:30,Sporting,Maritimo,0,1,2,1,3
23,34,2023-05-13 17:00,Portimonense,Benfica,1,3,1,5,6
24,34,2023-05-13 14:30,Chaves,Paços Ferreira,0,0,2,0,2
25,34,2023-05-13 14:30,Vizela,Famalicao,0,0,0,0,0
26,34,2023-05-12 19:15,Gil Vicente,Boavista,1,0,3,1,4
27,34,2023-05-08 20:15,Arouca,FC Porto,0,1,0,1,1
28,34,2023-05-08 18:00,Famalicao,Chaves,0,0,1,2,3
29,34,2023-05-07 19:30,Paços Ferreira,Sporting,0,2,0,4,4
30,34,2023-05-07 17:00,Guimaraes,Vizela,2,0,3,0,3
31,34,2023-05-07 14:30,Maritimo,Rio Ave,1,2,2,2,4
32,34,2023-05-06 19:30,Benfica,Braga,0,0,1,0,1
33,34,2023-05-06 17:00,Boavista,Estoril,0,0,1,0,1
34,34,2023-05-06 14:30,Santa Clara,Gil Vicente,2,0,3,2,5
35,34,2023-05-05 19:15,Casa Pia,Portimonense,0,0,1,1,2
36,34,2023-04-30 19:30,Sporting,Famalicao,1,0,2,1,3
37,34,2023-04-30 17:00,FC Porto,Boavista,0,0,1,0,1
38,34,2023-04-30 14:30,Estoril,Santa Clara,2,0,3,0,3
39,34,2023-04-29 19:30,Gil Vicente,Benfica,0,0,0,2,2
40,34,2023-04-29 17:00,Vizela,Paços Ferreira,0,2,1,2,3
41,34,2023-04-29 17:00,Chaves,Casa Pia,1,0,1,0,1
42,34,2023-04-29 14:30,Braga,Portimonense,3,1,4,1,5
43,34,2023-04-29 14:30,Maritimo,Guimaraes,0,1,1,2,3
44,34,2023-04-28 19:15,Rio Ave,Arouca,0,0,1,0,1
45,29,2023-04-24 19:15,Guimaraes,Sporting,0,0,0,2,2
46,29,2023-04-23 19:30,Arouca,Vizela,1,0,1,0,1
47,29,2023-04-23 17:00,Benfica,Estoril,1,0,1,0,1
48,29,2023-04-23 17:00,Santa Clara,Chaves,0,0,1,1,2
49,29,2023-04-23 14:30,Portimonense,Gil Vicente,0,0,1,0,1
50,29,2023-04-22 19:30,Paços Ferreira,FC Porto,0,0,0,2,2
51,29,2023-04-22 17:00,Boavista,Rio Ave,3,1,3,2,5
52,29,2023-04-22 14:30,Famalicao,Maritimo,0,2,3,2,5
53,29,2023-04-21 19:15,Casa Pia,Braga,0,0,0,1,1
54,28,2023-04-17 19:15,Vizela,Boavista,0,0,1,1,2
55,28,2023-04-16 19:30,Sporting,Arouca,0,1,1,1,2
56,28,2023-04-16 17:00,Braga,Gil Vicente,1,0,1,0,1
57,28,2023-04-16 14:30,Rio Ave,Casa Pia,0,1,1,1,2
58,28,2023-04-15 19:30,FC Porto,Santa Clara,1,0,2,1,3
59,28,2023-04-15 17:00,Chaves,Benfica,0,0,1,0,1
60,28,2023-04-15 14:30,Maritimo,Paços Ferreira,2,0,3,1,4
61,28,2023-04-15 14:30,Estoril,Portimonense,0,0,0,1,1
62,28,2023-04-14 19:15,Famalicao,Guimaraes,1,0,2,1,3
63,27,2023-04-10 19:15,Gil Vicente,Chaves,0,0,0,0,0
64,27,2023-04-09 17:00,Casa Pia,Sporting,2,2,3,4,7
65,27,2023-04-08 19:30,Braga,Estoril,1,0,4,1,5
66,27,2023-04-08 17:00,Paços Ferreira,Famalicao,1,1,1,3,4
67,27,2023-04-08 17:00,Portimonense,Rio Ave,0,1,2,2,4
68,27,2023-04-08 14:30,Arouca,Maritimo,1,0,1,0,1
69,27,2023-04-07 19:30,Boavista,Guimaraes,1,0,2,1,3
70,27,2023-04-07 17:00,Benfica,FC Porto,1,1,1,2,3
71,27,2023-04-07 14:30,Santa Clara,Vizela,0,1,0,1,1
72,25,2023-04-05 19:15,Gil Vicente,Sporting,0,0,0,0,0
73,26,2023-04-03 19:15,Famalicao,Arouca,0,0,0,1,1
74,26,2023-04-02 19:30,FC Porto,Portimonense,1,0,1,0,1
75,26,2023-04-02 17:00,Rio Ave,Benfica,0,0,0,1,1
76,26,2023-04-02 14:30,Chaves,Braga,1,1,1,2,3
77,26,2023-04-02 14:30,Maritimo,Boavista,2,0,4,2,6
78,26,2023-04-01 19:30,Sporting,Santa Clara,2,0,3,0,3
79,26,2023-04-01 17:00,Guimaraes,Paços Ferreira,0,0,0,0,0
80,26,2023-04-01 14:30,Vizela,Casa Pia,1,1,3,1,4
81,26,2023-03-31 19:15,Estoril,Gil Vicente,1,0,1,0,1
82,25,2023-03-19 20:30,Boavista,Famalicao,0,0,1,2,3
83,25,2023-03-19 18:00,Braga,FC Porto,0,0,0,0,0
84,25,2023-03-19 15:30,Casa Pia,Maritimo,1,0,2,0,2
85,25,2023-03-18 20:30,Estoril,Chaves,0,1,0,2,2
86,25,2023-03-18 18:00,Benfica,Guimaraes,3,0,5,1,6
87,25,2023-03-18 18:00,Arouca,Paços Ferreira,0,0,1,1,2
88,25,2023-03-18 15:30,Portimonense,Vizela,0,0,0,1,1
89,25,2023-03-17 20:15,Santa Clara,Rio Ave,0,0,0,2,2
90,24,2023-03-13 20:15,Famalicao,Casa Pia,1,0,1,0,1
91,24,2023-03-12 20:30,Sporting,Boavista,2,0,3,0,3
92,24,2023-03-12 18:00,Maritimo,Benfica,0,1,0,3,3
93,24,2023-03-12 15:30,Rio Ave,Gil Vicente,2,0,2,1,3
94,24,2023-03-11 20:30,Vizela,Braga,0,1,0,4,4
95,24,2023-03-11 18:00,Guimaraes,Arouca,0,0,0,2,2
96,24,2023-03-11 15:30,Paços Ferreira,Santa Clara,0,0,1,0,1
97,24,2023-03-11 15:30,Chaves,Portimonense,1,0,2,0,2
98,24,2023-03-10 20:15,FC Porto,Estoril,2,1,3,2,5
99,23,2023-03-06 20:15,Casa Pia,Paços Ferreira,0,1,2,1,3
100,23,2023-03-05 20:30,Braga,Rio Ave,1,0,2,0,2
101,23,2023-03-05 18:00,Santa Clara,Guimaraes,0,3,1,3,4
102,23,2023-03-05 15:30,Gil Vicente,Maritimo,1,0,2,0,2
103,23,2023-03-04 20:30,Chaves,FC Porto,0,2,1,3,4
104,23,2023-03-04 18:00,Portimonense,Sporting,0,0,0,1,1
105,23,2023-03-04 15:30,Estoril,Vizela,0,2,0,3,3
106,23,2023-03-03 21:15,Benfica,Famalicao,1,0,2,0,2
107,23,2023-03-03 19:00,Boavista,Arouca,0,0,0,0,0
108,22,2023-02-27 21:15,Guimaraes,Braga,2,0,2,1,3
109,22,2023-02-27 19:00,Sporting,Estoril,1,0,2,0,2
110,22,2023-02-26 20:30,FC Porto,Gil Vicente,1,2,1,2,3
111,22,2023-02-26 18:00,Paços Ferreira,Boavista,0,1,1,3,4
112,22,2023-02-26 15:30,Rio Ave,Chaves,0,0,1,0,1
113,22,2023-02-25 20:30,Vizela,Benfica,0,1,0,2,2
114,22,2023-02-25 18:00,Maritimo,Santa Clara,0,1,3,1,4
115,22,2023-02-25 15:30,Arouca,Casa Pia,0,0,2,0,2
116,22,2023-02-24 20:15,Famalicao,Portimonense,0,0,1,0,1
117,21,2023-02-20 21:15,Benfica,Boavista,0,0,3,1,4
118,21,2023-02-20 19:00,Chaves,Sporting,1,1,2,3,5
119,21,2023-02-19 20:30,Casa Pia,Guimaraes,0,0,0,0,0
120,21,2023-02-19 18:00,Braga,Arouca,1,0,2,0,2
121,21,2023-02-19 15:30,Santa Clara,Famalicao,0,0,1,3,4
122,21,2023-02-18 20:30,FC Porto,Rio Ave,1,0,1,0,1
123,21,2023-02-18 18:00,Portimonense,Maritimo,0,1,2,1,3
124,21,2023-02-18 18:00,Estoril,Paços Ferreira,0,2,1,3,4
125,21,2023-02-17 20:15,Gil Vicente,Vizela,0,0,1,1,2
126,20,2023-02-13 21:15,Boavista,Casa Pia,0,0,0,0,0
127,20,2023-02-13 19:00,Rio Ave,Estoril,0,0,2,0,2
128,20,2023-02-12 20:30,Maritimo,Braga,1,2,1,2,3
129,20,2023-02-12 18:00,Sporting,FC Porto,0,0,1,2,3
130,20,2023-02-12 15:30,Famalicao,Gil Vicente,0,0,0,1,1
131,20,2023-02-11 20:30,Guimaraes,Portimonense,1,0,1,0,1
132,20,2023-02-11 18:00,Arouca,Santa Clara,0,0,1,0,1
133,20,2023-02-10 20:15,Vizela,Chaves,0,0,0,0,0
134,14,2023-02-09 18:00,Estoril,Boavista,0,1,2,1,3
135,19,2023-02-06 21:15,Rio Ave,Sporting,0,0,0,1,1
136,19,2023-02-06 19:00,Portimonense,Paços Ferreira,0,0,1,0,1
137,19,2023-02-05 20:30,Gil Vicente,Arouca,1,1,1,1,2
138,19,2023-02-05 18:00,FC Porto,Vizela,1,0,2,0,2
139,19,2023-02-05 15:30,Chaves,Maritimo,2,1,2,1,3
140,19,2023-02-05 15:30,Braga,Famalicao,1,0,4,1,5
141,19,2023-02-04 20:30,Estoril,Guimaraes,0,1,0,1,1
142,19,2023-02-04 18:00,Benfica,Casa Pia,2,0,3,0,3
143,19,2023-02-04 15:30,Santa Clara,Boavista,0,1,2,2,4
144,18,2023-02-01 21:15,Sporting,Braga,1,0,5,0,5
145,18,2023-02-01 19:00,Maritimo,FC Porto,0,0,0,2,2
146,18,2023-01-31 21:15,Arouca,Benfica,0,1,0,3,3
147,18,2023-01-31 19:00,Paços Ferreira,Gil Vicente,1,0,2,1,3
148,18,2023-01-30 20:15,Guimaraes,Chaves,1,0,2,1,3
149,18,2023-01-29 20:30,Famalicao,Estoril,0,0,1,0,1
150,18,2023-01-29 18:00,Boavista,Portimonense,0,0,4,2,6
151,18,2023-01-29 15:30,Casa Pia,Santa Clara,0,0,2,1,3
152,18,2023-01-29 15:30,Vizela,Rio Ave,0,1,3,1,4
