journée,date_time,home_team,away_team,1st_home_team_goal,1st_away_team_goal,1st_total_goal,2nd_home_team_goal,2nd_away_team_goal,2nd_total_goal,total_home_team_goal,total_away_team_goal,global
38,2023-06-03 19:00,AC Ajaccio,Marseille,0,0,0,1,0,1,1,0,1
38,2023-06-03 19:00,Nice,Lyon,3,1,4,0,0,0,3,1,4
38,2023-06-03 19:00,Troyes,Lille,0,0,0,1,1,2,1,1,2
38,2023-06-03 19:00,Reims,Montpellier,1,0,1,0,3,3,1,3,4
38,2023-06-03 19:00,PSG,Clermont,2,2,4,0,1,1,2,3,5
38,2023-06-03 19:00,Auxerre,Lens,0,1,1,1,2,3,1,3,4
38,2023-06-03 19:00,Nantes,Angers,1,0,1,0,0,0,1,0,1
38,2023-06-03 19:00,Lorient,Strasbourg,2,0,2,0,1,1,2,1,3
38,2023-06-03 19:00,Brest,Rennes,1,2,3,0,0,0,1,2,3
38,2023-06-03 19:00,Monaco,Toulouse,0,0,0,1,2,3,1,2,3
37,2023-05-27 19:00,Marseille,Brest,0,0,0,1,2,3,1,2,3
37,2023-05-27 19:00,Toulouse,Auxerre,1,1,2,0,0,0,1,1,2
37,2023-05-27 19:00,Strasbourg,PSG,0,0,0,1,1,2,1,1,2
37,2023-05-27 19:00,Rennes,Monaco,0,0,0,2,0,2,2,0,2
37,2023-05-27 19:00,Montpellier,Nice,2,0,2,0,3,3,2,3,5
37,2023-05-27 19:00,Lyon,Reims,2,0,2,1,0,1,3,0,3
37,2023-05-27 19:00,Lille,Nantes,0,1,1,2,0,2,2,1,3
37,2023-05-27 19:00,Lens,AC Ajaccio,3,0,3,0,0,0,3,0,3
37,2023-05-27 19:00,Clermont,Lorient,1,0,1,1,0,1,2,0,2
37,2023-05-27 19:00,Angers,Troyes,1,1,2,1,0,1,2,1,3
36,2023-05-21 18:45,Auxerre,PSG,0,2,2,1,0,1,1,2,3
36,2023-05-21 15:05,Lorient,Lens,1,2,3,0,1,1,1,3,4
36,2023-05-21 13:00,Brest,Clermont,1,1,2,1,0,1,2,1,3
36,2023-05-21 13:00,Nice,Toulouse,0,0,0,0,0,0,0,0,0
36,2023-05-21 13:00,Reims,Angers,1,0,1,1,2,3,2,2,4
36,2023-05-21 13:00,Troyes,Strasbourg,0,1,1,1,0,1,1,1,2
36,2023-05-21 11:00,AC Ajaccio,Rennes,0,4,4,0,1,1,0,5,5
36,2023-05-20 19:00,Lille,Marseille,0,1,1,2,0,2,2,1,3
36,2023-05-20 15:00,Nantes,Montpellier,0,1,1,0,2,2,0,3,3
36,2023-05-19 19:00,Lyon,Monaco,1,1,2,2,0,2,3,1,4
35,2023-05-14 18:45,Marseille,Angers,1,1,2,2,0,2,3,1,4
35,2023-05-14 15:05,Monaco,Lille,0,0,0,0,0,0,0,0,0
35,2023-05-14 13:00,Brest,Auxerre,0,0,0,1,0,1,1,0,1
35,2023-05-14 13:00,Montpellier,Lorient,0,0,0,1,1,2,1,1,2
35,2023-05-14 13:00,Rennes,Troyes,1,0,1,3,0,3,4,0,4
35,2023-05-14 13:00,Toulouse,Nantes,0,0,0,0,0,0,0,0,0
35,2023-05-14 11:00,Clermont,Lyon,1,1,2,1,0,1,2,1,3
35,2023-05-13 19:00,PSG,AC Ajaccio,2,0,2,3,0,3,5,0,5
35,2023-05-13 15:00,Strasbourg,Nice,1,0,1,1,0,1,2,0,2
35,2023-05-12 19:00,Lens,Reims,1,1,2,1,0,1,2,1,3
34,2023-05-07 18:45,Troyes,PSG,0,1,1,1,2,3,1,3,4
34,2023-05-07 15:05,Lyon,Montpellier,1,2,3,4,2,6,5,4,9
34,2023-05-07 13:00,AC Ajaccio,Toulouse,0,0,0,0,0,0,0,0,0
34,2023-05-07 13:00,Auxerre,Clermont,1,0,1,0,1,1,1,1,2
34,2023-05-07 13:00,Lorient,Brest,1,0,1,1,1,2,2,1,3
34,2023-05-07 13:00,Nantes,Strasbourg,0,1,1,0,1,1,0,2,2
34,2023-05-07 11:00,Angers,Monaco,0,1,1,1,1,2,1,2,3
34,2023-05-06 19:00,Lens,Marseille,1,0,1,1,1,2,2,1,3
34,2023-05-06 17:00,Reims,Lille,1,0,1,0,0,0,1,0,1
34,2023-05-06 15:00,Nice,Rennes,0,0,0,2,1,3,2,1,3
33,2023-05-03 19:00,Brest,Nantes,2,0,2,0,0,0,2,0,2
33,2023-05-02 19:00,Toulouse,Lens,0,1,1,0,0,0,0,1,1
33,2023-04-30 18:45,Marseille,Auxerre,0,1,1,2,0,2,2,1,3
33,2023-04-30 15:05,PSG,Lorient,1,2,3,0,1,1,1,3,4
33,2023-04-30 13:00,Clermont,Reims,1,0,1,0,0,0,1,0,1
33,2023-04-30 13:00,Rennes,Angers,2,2,4,2,0,2,4,2,6
33,2023-04-30 13:00,Troyes,Nice,0,1,1,0,0,0,0,1,1
33,2023-04-30 11:00,Monaco,Montpellier,0,1,1,0,3,3,0,4,4
