,journée,date_time,home_team,away_team,1st_home_team_goal,1st_away_team_goal,total_home_team_goal,total_away_team_goal,global
0,38,2023-06-02 18:45,Bordeaux,Rodez,0,1,0,1,1
1,38,2023-06-02 18:45,Amiens,Laval,0,0,1,2,3
2,38,2023-06-02 18:45,Grenoble,Guingamp,0,1,0,2,2
3,38,2023-06-02 18:45,Le Havre,Dijon,1,0,1,0,1
4,38,2023-06-02 18:45,Metz,Bastia,1,0,3,2,5
5,38,2023-06-02 18:45,Nîmes,Sochaux,1,1,3,1,4
6,38,2023-06-02 18:45,Niort,Quevilly-Rouen,2,1,3,3,6
7,38,2023-06-02 18:45,Paris FC,Annecy,0,0,1,0,1
8,38,2023-06-02 18:45,Pau FC,Caen,1,0,1,0,1
9,38,2023-06-02 18:45,Saint-Étienne,Valenciennes,0,0,2,0,2
10,38,2023-05-26 18:45,Laval,Nîmes,2,0,2,0,2
11,38,2023-05-26 18:45,Valenciennes,Grenoble,0,0,1,0,1
12,38,2023-05-26 18:45,Sochaux,Metz,0,0,0,1,1
13,38,2023-05-26 18:45,Rodez,Pau FC,1,3,2,3,5
14,38,2023-05-26 18:45,Quevilly-Rouen,Amiens,1,0,1,3,4
15,38,2023-05-26 18:45,Caen,Saint-Étienne,0,2,2,2,4
16,38,2023-05-26 18:45,Guingamp,Niort,1,0,2,0,2
17,38,2023-05-26 18:45,Dijon,Paris FC,0,0,1,1,2
18,38,2023-05-26 18:45,Bastia,Le Havre,0,0,1,1,2
19,38,2023-05-26 18:45,Annecy,Bordeaux,1,0,1,0,1
20,38,2023-05-22 18:45,Le Havre,Valenciennes,0,2,0,2,2
21,38,2023-05-20 17:00,Paris FC,Sochaux,0,1,2,1,3
22,38,2023-05-20 17:00,Saint-Étienne,Quevilly-Rouen,1,1,4,2,6
23,38,2023-05-20 17:00,Pau FC,Bastia,1,2,2,6,8
24,38,2023-05-20 17:00,Guingamp,Metz,0,1,1,1,2
25,38,2023-05-20 17:00,Niort,Annecy,0,1,2,2,4
26,38,2023-05-20 17:00,Amiens,Caen,1,1,1,3,4
27,38,2023-05-20 17:00,Nîmes,Dijon,1,0,1,2,3
28,38,2023-05-20 12:45,Bordeaux,Laval,2,0,3,0,3
29,38,2023-05-19 17:00,Grenoble,Rodez,1,1,1,1,2
30,38,2023-05-15 18:45,Annecy,Le Havre,0,0,1,0,1
31,38,2023-05-13 17:00,Metz,Grenoble,0,0,1,0,1
32,38,2023-05-13 17:00,Valenciennes,Pau FC,0,0,1,1,2
33,38,2023-05-13 17:00,Sochaux,Guingamp,0,0,0,1,1
34,38,2023-05-13 17:00,Rodez,Paris FC,0,0,0,0,0
35,38,2023-05-13 17:00,Laval,Saint-Étienne,1,1,2,1,3
36,38,2023-05-13 17:00,Dijon,Amiens,2,0,3,0,3
37,38,2023-05-13 17:00,Caen,Nîmes,0,0,4,2,6
38,38,2023-05-13 17:00,Bastia,Niort,0,0,2,1,3
39,38,2023-05-13 13:00,Quevilly-Rouen,Bordeaux,0,0,0,0,0
40,38,2023-05-08 18:45,Le Havre,Rodez,0,0,1,0,1
41,38,2023-05-06 17:00,Saint-Étienne,Guingamp,1,2,3,2,5
42,38,2023-05-06 17:00,Niort,Metz,1,1,1,3,4
43,38,2023-05-06 17:00,Paris FC,Grenoble,1,0,1,0,1
44,38,2023-05-06 17:00,Pau FC,Quevilly-Rouen,1,1,3,4,7
45,38,2023-05-06 17:00,Nîmes,Valenciennes,1,1,3,3,6
46,38,2023-05-06 17:00,Annecy,Dijon,0,0,1,1,2
47,38,2023-05-06 17:00,Amiens,Sochaux,0,0,1,0,1
48,38,2023-05-06 17:00,Laval,Bastia,2,0,2,1,3
49,38,2023-05-06 13:00,Bordeaux,Caen,1,0,1,0,1
50,33,2023-05-01 18:45,Sochaux,Dijon,0,2,0,2,2
51,33,2023-04-29 17:00,Bastia,Amiens,1,1,1,1,2
