,journée,date_time,home_team,away_team,1st_home_team_goal,1st_away_team_goal,total_home_team_goal,total_away_team_goal,global
0,38,2023-06-04 19:00,AC Milan,Verona,1,0,3,1,4
1,38,2023-06-04 19:00,AS Roma,Spezia,1,1,2,1,3
2,38,2023-06-04 19:00,Atalanta,Monza,2,0,5,2,7
3,38,2023-06-04 19:00,Lecce,Bologna,1,0,2,3,5
4,38,2023-06-04 19:00,Udinese,Juventus,0,0,0,1,1
5,38,2023-06-04 16:30,Napoli,Sampdoria,0,0,2,0,2
6,38,2023-06-03 19:00,Cremonese,Salernitana,1,0,2,0,2
7,38,2023-06-03 19:00,Empoli,Lazio,0,0,0,2,2
8,38,2023-06-03 16:30,Torino,Inter,0,1,0,1,1
9,38,2023-06-02 18:30,Sassuolo,Fiorentina,0,0,1,3,4
10,37,2023-05-28 18:45,Juventus,AC Milan,0,1,0,1,1
11,37,2023-05-28 16:00,Lazio,Cremonese,2,0,3,2,5
12,37,2023-05-28 13:00,Bologna,Napoli,0,1,2,2,4
13,37,2023-05-28 13:00,Monza,Lecce,0,0,0,1,1
14,37,2023-05-28 10:30,Verona,Empoli,0,0,1,1,2
15,37,2023-05-27 18:45,Inter,Atalanta,2,1,3,2,5
16,37,2023-05-27 16:00,Fiorentina,AS Roma,0,1,2,1,3
17,37,2023-05-27 13:00,Salernitana,Udinese,1,2,3,2,5
18,37,2023-05-27 13:00,Spezia,Torino,0,1,0,4,4
19,37,2023-05-26 18:45,Sampdoria,Sassuolo,1,2,2,2,4
20,36,2023-05-22 18:45,Empoli,Juventus,2,0,4,1,5
21,36,2023-05-22 16:30,AS Roma,Salernitana,0,1,2,2,4
22,36,2023-05-21 18:45,Udinese,Lazio,0,0,0,1,1
23,36,2023-05-21 16:00,Napoli,Inter,0,0,3,1,4
24,36,2023-05-21 13:00,Torino,Fiorentina,0,0,1,1,2
25,36,2023-05-21 10:30,Lecce,Spezia,0,0,0,0,0
26,36,2023-05-20 18:45,AC Milan,Sampdoria,3,1,5,1,6
27,36,2023-05-20 16:00,Atalanta,Verona,1,1,3,1,4
28,36,2023-05-20 13:00,Cremonese,Bologna,0,3,1,5,6
29,36,2023-05-19 18:45,Sassuolo,Monza,1,0,1,2,3
30,35,2023-05-15 18:45,Sampdoria,Empoli,1,0,1,1,2
31,35,2023-05-14 18:45,Juventus,Cremonese,0,0,2,0,2
32,35,2023-05-14 16:00,Bologna,AS Roma,0,0,0,0,0
33,35,2023-05-14 13:00,Fiorentina,Udinese,1,0,2,0,2
34,35,2023-05-14 13:00,Monza,Napoli,1,0,2,0,2
35,35,2023-05-14 10:30,Verona,Torino,0,1,0,1,1
36,35,2023-05-13 18:45,Inter,Sassuolo,1,0,4,2,6
37,35,2023-05-13 16:00,Spezia,AC Milan,0,0,2,0,2
38,35,2023-05-13 13:00,Salernitana,Atalanta,0,0,1,0,1
39,35,2023-05-12 18:45,Lazio,Lecce,1,1,2,2,4
40,34,2023-05-08 18:45,Sassuolo,Bologna,1,1,1,1,2
41,34,2023-05-08 16:30,Empoli,Salernitana,1,0,2,1,3
42,34,2023-05-08 16:30,Udinese,Sampdoria,2,0,2,0,2
43,34,2023-05-07 18:45,Lecce,Verona,0,0,0,1,1
44,34,2023-05-07 16:00,Napoli,Fiorentina,0,0,1,0,1
45,34,2023-05-07 13:00,Torino,Monza,0,0,1,1,2
46,34,2023-05-07 10:30,Atalanta,Juventus,0,0,0,2,2
47,34,2023-05-06 18:45,Cremonese,Spezia,1,0,2,0,2
48,34,2023-05-06 16:00,AS Roma,Inter,0,1,0,2,2
49,34,2023-05-06 13:00,AC Milan,Lazio,2,0,2,0,2
50,33,2023-05-04 18:45,Empoli,Bologna,2,0,3,1,4
51,33,2023-05-04 18:45,Udinese,Napoli,1,0,1,1,2
52,33,2023-05-03 19:00,AC Milan,Cremonese,0,0,1,1,2
53,33,2023-05-03 19:00,Lazio,Sassuolo,1,0,2,0,2
54,33,2023-05-03 19:00,Monza,AS Roma,1,1,1,1,2
55,33,2023-05-03 19:00,Verona,Inter,0,3,0,6,6
56,33,2023-05-03 16:00,Salernitana,Fiorentina,1,1,3,3,6
57,33,2023-05-03 16:00,Sampdoria,Torino,0,1,0,2,2
58,33,2023-05-03 16:00,Juventus,Lecce,2,1,2,1,3
59,33,2023-05-03 16:00,Atalanta,Spezia,1,1,3,2,5
60,32,2023-04-30 18:45,Bologna,Juventus,1,0,1,1,2
61,32,2023-04-30 16:00,Fiorentina,Sampdoria,1,0,5,0,5
62,32,2023-04-30 13:00,Cremonese,Verona,1,0,1,1,2
63,32,2023-04-30 13:00,Napoli,Salernitana,0,0,1,1,2
64,32,2023-04-30 13:00,Sassuolo,Empoli,0,1,2,1,3
65,32,2023-04-30 10:30,Inter,Lazio,0,1,3,1,4
66,32,2023-04-29 18:45,Torino,Atalanta,0,1,1,2,3
67,32,2023-04-29 16:00,AS Roma,AC Milan,0,0,1,1,2
68,32,2023-04-28 18:45,Spezia,Monza,0,1,0,2,2
69,32,2023-04-28 16:30,Lecce,Udinese,0,0,1,0,1
70,31,2023-04-24 18:45,Atalanta,AS Roma,1,0,3,1,4
71,31,2023-04-23 18:45,Juventus,Napoli,0,0,0,1,1
72,31,2023-04-23 16:00,AC Milan,Lecce,1,0,2,0,2
73,31,2023-04-23 13:00,Monza,Fiorentina,2,2,3,2,5
74,31,2023-04-23 13:00,Udinese,Cremonese,3,0,3,0,3
75,31,2023-04-23 10:30,Empoli,Inter,0,0,0,3,3
76,31,2023-04-22 18:45,Sampdoria,Spezia,1,0,1,1,2
77,31,2023-04-22 16:00,Lazio,Torino,0,1,0,1,1
78,31,2023-04-22 13:00,Salernitana,Sassuolo,2,0,3,0,3
79,31,2023-04-21 18:45,Verona,Bologna,1,0,2,1,3
80,30,2023-04-17 18:45,Fiorentina,Atalanta,0,1,1,1,2
81,30,2023-04-16 18:45,AS Roma,Udinese,1,0,3,0,3
82,30,2023-04-16 16:00,Sassuolo,Juventus,0,0,1,0,1
83,30,2023-04-16 13:00,Torino,Salernitana,0,1,1,1,2
84,30,2023-04-16 10:30,Lecce,Sampdoria,1,0,1,1,2
85,30,2023-04-15 18:45,Inter,Monza,0,0,0,1,1
86,30,2023-04-15 16:00,Napoli,Verona,0,0,0,0,0
87,30,2023-04-15 13:00,Bologna,AC Milan,1,1,1,1,2
88,30,2023-04-14 18:45,Spezia,Lazio,0,1,0,3,3
89,30,2023-04-14 16:30,Cremonese,Empoli,1,0,1,0,1
90,29,2023-04-08 18:45,Lazio,Juventus,1,1,2,1,3
91,29,2023-04-08 16:30,Verona,Sassuolo,0,1,2,1,3
92,29,2023-04-08 16:30,Torino,AS Roma,0,1,0,1,1
93,29,2023-04-08 14:30,Atalanta,Bologna,0,0,0,2,2
94,29,2023-04-08 14:30,Sampdoria,Cremonese,1,1,2,3,5
95,29,2023-04-08 12:30,Fiorentina,Spezia,1,1,1,1,2
96,29,2023-04-08 10:30,Udinese,Monza,1,0,2,2,4
97,29,2023-04-07 19:00,AC Milan,Empoli,0,0,0,0,0
98,29,2023-04-07 17:00,Lecce,Napoli,0,1,1,2,3
99,29,2023-04-07 15:00,Salernitana,Inter,0,1,1,1,2
100,28,2023-04-03 18:45,Sassuolo,Torino,1,0,1,1,2
101,28,2023-04-03 16:30,Empoli,Lecce,0,0,1,0,1
102,28,2023-04-02 18:45,Napoli,AC Milan,0,2,0,4,4
103,28,2023-04-02 16:00,AS Roma,Sampdoria,0,0,3,0,3
104,28,2023-04-02 13:00,Monza,Lazio,0,1,0,2,2
105,28,2023-04-02 13:00,Spezia,Salernitana,0,1,1,1,2
106,28,2023-04-02 10:30,Bologna,Udinese,2,0,3,0,3
107,28,2023-04-01 18:45,Juventus,Verona,0,0,1,0,1
108,28,2023-04-01 16:00,Inter,Fiorentina,0,0,0,1,1
109,28,2023-04-01 13:00,Cremonese,Atalanta,0,1,1,3,4
110,27,2023-03-19 19:45,Inter,Juventus,0,1,0,1,1
111,27,2023-03-19 17:00,Lazio,AS Roma,0,0,1,0,1
112,27,2023-03-19 14:00,Fiorentina,Lecce,1,0,1,0,1
113,27,2023-03-19 14:00,Torino,Napoli,0,2,0,4,4
114,27,2023-03-19 11:30,Sampdoria,Verona,2,0,3,1,4
