,journée,date_time,home_team,away_team,1st_home_team_goal,1st_away_team_goal,total_home_team_goal,total_away_team_goal,global
0,23,2023-02-05 16:00,Galatasaray,Trabzonspor,1,1,2,1,3
1,23,2023-02-05 13:00,Hatayspor,Kasimpasa,0,0,1,0,1
2,23,2023-02-05 10:30,Istanbulspor,Alanyaspor,0,0,2,1,3
3,23,2023-02-04 16:00,Antalyaspor,Gaziantep,1,0,1,0,1
4,23,2023-02-04 13:00,Sivasspor,Besiktas,1,0,1,0,1
5,23,2023-02-04 10:30,Ankaragucu,Karagumruk,0,1,0,2,2
6,22,2023-02-02 17:00,Adana Demirspor,Fenerbahce,0,0,1,1,2
7,22,2023-02-02 14:00,Kayserispor,Basaksehir,0,0,1,0,1
8,22,2023-02-02 14:00,Konyaspor,Istanbulspor,0,0,0,1,1
9,22,2023-02-01 17:00,Galatasaray,Umraniyespor,1,2,3,2,5
10,22,2023-02-01 17:00,Trabzonspor,Antalyaspor,1,0,2,0,2
11,22,2023-02-01 14:00,Gaziantep,Hatayspor,1,1,4,1,5
12,22,2023-02-01 14:00,Kasimpasa,Giresunspor,3,1,5,1,6
13,22,2023-01-31 17:00,Karagumruk,Besiktas,0,1,1,1,2
14,22,2023-01-31 14:00,Alanyaspor,Sivasspor,0,2,0,3,3
15,21,2023-01-29 16:00,Basaksehir,Konyaspor,1,0,2,0,2
16,21,2023-01-29 16:00,Fenerbahce,Kasimpasa,2,1,5,1,6
17,21,2023-01-29 10:30,Istanbulspor,Kayserispor,2,1,2,4,6
18,21,2023-01-28 16:00,Antalyaspor,Umraniyespor,1,1,3,2,5
19,21,2023-01-28 16:00,Giresunspor,Galatasaray,0,1,0,4,4
20,21,2023-01-28 13:00,Ankaragucu,Gaziantep,0,0,0,2,2
21,21,2023-01-28 13:00,Hatayspor,Trabzonspor,0,1,2,1,3
22,21,2023-01-28 10:30,Sivasspor,Adana Demirspor,0,1,1,2,3
23,21,2023-01-27 17:00,Besiktas,Alanyaspor,1,0,3,0,3
24,20,2023-01-23 17:00,Konyaspor,Ankaragucu,0,0,0,1,1
25,20,2023-01-23 17:00,Umraniyespor,Fenerbahce,0,0,1,2,3
26,20,2023-01-22 16:00,Trabzonspor,Istanbulspor,1,0,4,0,4
27,20,2023-01-22 13:00,Alanyaspor,Karagumruk,1,0,2,2,4
28,20,2023-01-22 13:00,Kayserispor,Besiktas,0,2,0,2,2
29,20,2023-01-22 10:30,Gaziantep,Sivasspor,0,1,1,2,3
30,20,2023-01-21 16:00,Galatasaray,Antalyaspor,0,0,2,1,3
31,20,2023-01-21 13:00,Kasimpasa,Basaksehir,1,0,1,3,4
32,20,2023-01-20 17:00,Adana Demirspor,Giresunspor,0,1,1,1,2
33,19,2023-01-15 16:00,Gaziantep,Fenerbahce,0,1,1,2,3
34,19,2023-01-15 13:00,Kasimpasa,Karagumruk,1,0,2,2,4
35,19,2023-01-15 10:30,Umraniyespor,Istanbulspor,0,2,0,2,2
36,19,2023-01-14 16:00,Trabzonspor,Basaksehir,1,0,1,0,1
37,19,2023-01-14 13:00,Adana Demirspor,Ankaragucu,0,0,3,1,4
38,19,2023-01-14 13:00,Konyaspor,Besiktas,1,0,1,2,3
39,19,2023-01-14 10:30,Antalyaspor,Giresunspor,1,1,2,2,4
40,19,2023-01-13 17:00,Galatasaray,Hatayspor,3,0,4,0,4
41,19,2023-01-13 16:00,Kayserispor,Sivasspor,3,0,4,1,5
42,18,2023-01-09 17:00,Alanyaspor,Trabzonspor,3,0,5,0,5
43,18,2023-01-09 17:00,Istanbulspor,Gaziantep,0,1,1,1,2
44,18,2023-01-09 14:00,Basaksehir,Adana Demirspor,0,0,2,1,3
45,18,2023-01-08 16:00,Fenerbahce,Galatasaray,0,1,0,3,3
46,18,2023-01-08 13:00,Ankaragucu,Kayserispor,1,1,2,1,3
47,18,2023-01-08 13:00,Giresunspor,Umraniyespor,0,0,0,1,1
48,18,2023-01-08 10:30,Karagumruk,Konyaspor,2,0,3,3,6
49,18,2023-01-07 16:00,Besiktas,Kasimpasa,2,0,2,1,3
50,18,2023-01-07 13:00,Hatayspor,Antalyaspor,0,0,0,0,0
51,17,2023-01-05 17:00,Adana Demirspor,Istanbulspor,1,0,6,0,6
52,17,2023-01-05 17:00,Trabzonspor,Giresunspor,1,0,3,0,3
53,17,2023-01-05 14:00,Gaziantep,Basaksehir,0,1,1,1,2
54,17,2023-01-04 17:00,Galatasaray,Ankaragucu,2,1,2,1,3
55,17,2023-01-04 17:00,Konyaspor,Sivasspor,1,1,2,2,4
56,17,2023-01-04 14:00,Kasimpasa,Alanyaspor,2,0,4,1,5
57,17,2023-01-04 14:00,Kayserispor,Karagumruk,0,2,2,4,6
58,17,2023-01-03 17:00,Antalyaspor,Fenerbahce,1,0,1,2,3
59,17,2023-01-03 14:00,Umraniyespor,Hatayspor,1,1,2,2,4
60,16,2022-12-29 17:00,Besiktas,Adana Demirspor,1,0,1,0,1
61,16,2022-12-29 14:00,Giresunspor,Gaziantep,1,0,2,1,3
62,16,2022-12-29 14:00,Sivasspor,Galatasaray,0,1,1,2,3
63,16,2022-12-28 17:00,Karagumruk,Trabzonspor,2,1,4,1,5
64,16,2022-12-28 14:00,Alanyaspor,Kayserispor,2,0,3,1,4
65,16,2022-12-28 14:00,Istanbulspor,Kasimpasa,1,1,2,1,3
66,16,2022-12-27 17:00,Fenerbahce,Hatayspor,2,0,4,0,4
67,16,2022-12-27 14:00,Ankaragucu,Umraniyespor,1,1,1,2,3
68,16,2022-12-27 14:00,Basaksehir,Antalyaspor,0,0,2,0,2
69,15,2022-12-25 16:00,Galatasaray,Istanbulspor,2,0,2,1,3
70,15,2022-12-25 13:00,Gaziantep,Besiktas,0,0,1,1,2
71,15,2022-12-25 13:00,Konyaspor,Alanyaspor,1,0,2,2,4
72,15,2022-12-25 10:30,Adana Demirspor,Karagumruk,2,1,2,1,3
73,15,2022-12-24 16:00,Trabzonspor,Fenerbahce,0,0,2,0,2
74,15,2022-12-24 13:00,Kasimpasa,Sivasspor,1,1,1,2,3
75,15,2022-12-24 10:30,Hatayspor,Giresunspor,0,0,1,1,2
76,15,2022-12-23 17:00,Antalyaspor,Ankaragucu,0,0,0,2,2
77,15,2022-12-23 17:00,Umraniyespor,Basaksehir,1,1,1,3,4
78,14,2022-11-13 14:00,Istanbulspor,Hatayspor,0,1,0,1,1
79,14,2022-11-13 14:00,Kayserispor,Konyaspor,1,2,1,2,3
80,14,2022-11-13 11:30,Karagumruk,Gaziantep,1,2,3,3,6
81,14,2022-11-12 17:00,Basaksehir,Galatasaray,0,3,0,7,7
82,14,2022-11-12 14:00,Fenerbahce,Giresunspor,1,0,1,2,3
83,14,2022-11-12 11:30,Sivasspor,Umraniyespor,1,1,2,2,4
84,14,2022-11-11 17:00,Alanyaspor,Adana Demirspor,0,0,0,0,0
85,14,2022-11-11 17:00,Ankaragucu,Trabzonspor,0,0,1,1,2
86,13,2022-11-07 17:00,Fenerbahce,Sivasspor,0,0,1,0,1
87,13,2022-11-07 17:00,Hatayspor,Basaksehir,1,0,3,3,6
88,13,2022-11-06 17:00,Trabzonspor,Konyaspor,2,1,2,2,4
89,13,2022-11-06 14:00,Antalyaspor,Karagumruk,3,2,4,2,6
90,13,2022-11-06 11:30,Gaziantep,Kayserispor,0,1,1,2,3
91,13,2022-11-05 17:00,Galatasaray,Besiktas,1,1,2,1,3
92,13,2022-11-05 11:30,Giresunspor,Istanbulspor,1,1,3,2,5
93,13,2022-11-04 17:00,Kasimpasa,Ankaragucu,0,0,1,1,2
94,13,2022-11-04 17:00,Umraniyespor,Alanyaspor,2,0,3,1,4
95,12,2022-10-31 17:00,Basaksehir,Giresunspor,1,0,3,1,4
96,12,2022-10-31 17:00,Sivasspor,Antalyaspor,0,2,0,2,2
97,12,2022-10-30 17:00,Istanbulspor,Fenerbahce,0,2,2,5,7
98,12,2022-10-30 14:00,Besiktas,Umraniyespor,2,1,5,2,7
99,12,2022-10-30 14:00,Kayserispor,Adana Demirspor,0,1,2,2,4
100,12,2022-10-30 11:30,Ankaragucu,Hatayspor,1,0,4,1,5
101,12,2022-10-29 17:00,Alanyaspor,Gaziantep,1,0,2,0,2
102,12,2022-10-29 11:30,Konyaspor,Kasimpasa,0,0,1,1,2
103,11,2022-10-28 17:00,Karagumruk,Galatasaray,0,0,0,2,2
104,11,2022-10-24 17:00,Giresunspor,Ankaragucu,0,0,1,1,2
105,11,2022-10-24 17:00,Hatayspor,Besiktas,0,1,2,1,3
106,11,2022-10-23 17:00,Galatasaray,Alanyaspor,2,0,2,2,4
107,11,2022-10-23 14:00,Adana Demirspor,Konyaspor,1,1,1,1,2
108,11,2022-10-23 11:30,Kasimpasa,Kayserispor,0,1,0,1,1
109,11,2022-10-22 17:00,Fenerbahce,Basaksehir,0,0,1,0,1
110,11,2022-10-22 14:00,Trabzonspor,Sivasspor,1,0,1,0,1
111,11,2022-10-22 11:30,Umraniyespor,Karagumruk,1,1,1,3,4
112,10,2022-10-21 17:00,Antalyaspor,Istanbulspor,1,1,2,1,3
113,10,2022-10-17 17:00,Ankaragucu,Fenerbahce,0,2,0,3,3
114,10,2022-10-17 17:00,Sivasspor,Giresunspor,2,0,3,0,3
115,10,2022-10-16 17:00,Besiktas,Trabzonspor,1,2,2,2,4
116,10,2022-10-16 14:00,Basaksehir,Istanbulspor,1,0,2,0,2
117,10,2022-10-15 17:00,Kayserispor,Galatasaray,2,0,2,1,3
118,10,2022-10-15 17:00,Konyaspor,Gaziantep,0,0,0,1,1
119,10,2022-10-15 14:00,Kasimpasa,Adana Demirspor,0,2,1,4,5
120,10,2022-10-15 11:30,Karagumruk,Hatayspor,2,0,3,0,3
121,9,2022-10-14 17:00,Alanyaspor,Antalyaspor,1,0,3,2,5
122,9,2022-10-10 17:00,Basaksehir,Sivasspor,0,1,0,2,2
123,9,2022-10-10 17:00,Trabzonspor,Kasimpasa,0,0,0,0,0
124,9,2022-10-09 17:00,Fenerbahce,Karagumruk,2,2,5,4,9
125,9,2022-10-09 14:00,Hatayspor,Alanyaspor,0,0,1,0,1
126,9,2022-10-09 11:30,Umraniyespor,Kayserispor,0,1,2,2,4
127,9,2022-10-08 17:00,Giresunspor,Besiktas,0,1,0,1,1
128,9,2022-10-08 14:00,Antalyaspor,Konyaspor,0,0,1,1,2
129,9,2022-10-08 11:30,Istanbulspor,Ankaragucu,0,1,1,2,3
130,8,2022-10-07 17:00,Gaziantep,Adana Demirspor,0,0,1,1,2
131,8,2022-10-03 17:00,Karagumruk,Istanbulspor,1,0,1,2,3
132,8,2022-10-02 17:00,Besiktas,Fenerbahce,0,0,0,0,0
133,8,2022-10-02 14:00,Konyaspor,Umraniyespor,1,0,1,0,1
134,8,2022-10-02 11:30,Alanyaspor,Giresunspor,0,0,1,1,2
135,8,2022-10-02 11:30,Sivasspor,Hatayspor,1,2,1,2,3
136,8,2022-10-01 17:00,Adana Demirspor,Galatasaray,0,0,0,0,0
137,8,2022-10-01 14:00,Ankaragucu,Basaksehir,0,1,1,2,3
138,8,2022-10-01 14:00,Kayserispor,Trabzonspor,1,0,1,2,3
139,7,2022-10-01 11:30,Kasimpasa,Gaziantep,0,0,1,0,1
140,7,2022-09-18 17:00,Ankaragucu,Sivasspor,2,0,2,1,3
141,7,2022-09-18 17:00,Fenerbahce,Alanyaspor,3,0,5,0,5
142,7,2022-09-18 14:00,Basaksehir,Karagumruk,0,0,0,0,0
143,7,2022-09-18 14:00,Trabzonspor,Gaziantep,2,2,3,2,5
144,7,2022-09-17 17:00,Antalyaspor,Adana Demirspor,0,1,0,3,3
145,7,2022-09-17 17:00,Istanbulspor,Besiktas,1,2,2,2,4
146,7,2022-09-17 14:00,Umraniyespor,Kasimpasa,0,1,1,2,3
147,7,2022-09-16 17:00,Galatasaray,Konyaspor,1,1,2,1,3
148,6,2022-09-16 17:00,Hatayspor,Kayserispor,0,2,0,4,4
149,6,2022-09-12 18:30,Adana Demirspor,Trabzonspor,1,1,3,2,5
150,6,2022-09-12 16:00,Besiktas,Basaksehir,0,0,0,1,1
151,6,2022-09-11 17:00,Gaziantep,Umraniyespor,0,0,1,1,2
152,6,2022-09-11 17:00,Kasimpasa,Galatasaray,1,1,2,3,5
153,6,2022-09-11 17:00,Kayserispor,Antalyaspor,0,0,1,0,1
154,6,2022-09-11 14:00,Sivasspor,Istanbulspor,0,0,1,1,2
155,6,2022-09-10 17:00,Karagumruk,Giresunspor,0,0,1,1,2
156,6,2022-09-10 14:00,Konyaspor,Hatayspor,0,0,1,0,1
157,5,2022-09-09 17:00,Alanyaspor,Ankaragucu,0,0,2,1,3
158,5,2022-09-05 18:00,Galatasaray,Gaziantep,1,1,2,1,3
159,5,2022-09-04 18:45,Ankaragucu,Besiktas,1,2,2,3,5
