mp,date_time,home_team,away_team,1st_score,1st_concede,1st_global,2nd_score,2nd_concede,2nd_global,total_score,total_concede,global
27,2023-04-02 14:45,Sittard,Groningen,2,0,2,1,1,2,3,1,4
27,2023-04-02 12:30,Sparta Rotterdam,Feyenoord,1,1,2,0,2,2,1,3,4
27,2023-04-02 12:30,Utrecht,FC Volendam,0,0,0,0,0,0,0,0,0
27,2023-04-02 10:15,G.A. Eagles,Ajax,0,0,0,0,0,0,0,0,0
27,2023-04-01 19:00,Waalwijk,Vitesse,1,0,1,0,0,0,1,0,1
27,2023-04-01 18:00,Cambuur,FC Emmen,0,0,0,1,2,3,1,2,3
27,2023-04-01 18:00,Nijmegen,PSV,0,3,3,2,1,3,2,4,6
27,2023-04-01 16:45,Excelsior,Twente,0,0,0,0,0,0,0,0,0
27,2023-04-01 14:30,AZ Alkmaar,Heerenveen,0,1,1,1,0,1,1,1,2
26,2023-03-19 19:00,Twente,AZ Alkmaar,2,0,2,0,1,1,2,1,3
26,2023-03-19 15:45,Vitesse,PSV,0,1,1,1,0,1,1,1,2
26,2023-03-19 13:30,Ajax,Feyenoord,2,1,3,0,2,2,2,3,5
26,2023-03-19 13:30,Excelsior,Cambuur,4,0,4,0,1,1,4,1,5
26,2023-03-19 11:15,Groningen,Heerenveen,0,2,2,0,0,0,0,2,2
26,2023-03-18 20:00,Waalwijk,Nijmegen,0,3,3,1,0,1,1,3,4
26,2023-03-18 17:45,FC Emmen,Sparta Rotterdam,0,1,1,0,1,1,0,2,2
26,2023-03-18 15:30,Utrecht,G.A. Eagles,1,1,2,0,1,1,1,2,3
26,2023-03-17 19:00,FC Volendam,Sittard,1,0,1,1,1,2,2,1,3
25,2023-03-12 19:00,Feyenoord,FC Volendam,0,1,1,2,0,2,2,1,3
25,2023-03-12 15:45,PSV,Cambuur,1,1,2,4,1,5,5,2,7
25,2023-03-12 13:30,Heerenveen,Ajax,1,3,4,1,1,2,2,4,6
25,2023-03-12 11:15,Nijmegen,Utrecht,1,0,1,1,2,3,2,2,4
25,2023-03-11 20:00,Sparta Rotterdam,Vitesse,2,1,3,1,0,1,3,1,4
25,2023-03-11 19:00,AZ Alkmaar,Groningen,1,0,1,0,0,0,1,0,1
25,2023-03-11 17:45,Sittard,Twente,0,0,0,0,3,3,0,3,3
25,2023-03-11 15:30,FC Emmen,Excelsior,0,0,0,2,0,2,2,0,2
24,2023-03-05 19:00,Cambuur,G.A. Eagles,2,1,3,2,0,2,4,1,5
24,2023-03-05 15:45,Ajax,Nijmegen,0,0,0,1,0,1,1,0,1
24,2023-03-05 13:30,Waalwijk,PSV,0,1,1,0,0,0,0,1,1
24,2023-03-05 11:15,Excelsior,Sparta Rotterdam,1,1,2,0,3,3,1,4,5
24,2023-03-04 20:00,Twente,Heerenveen,1,1,2,2,2,4,3,3,6
24,2023-03-04 19:00,Feyenoord,Groningen,0,0,0,1,0,1,1,0,1
24,2023-03-04 17:45,FC Volendam,FC Emmen,0,0,0,3,1,4,3,1,4
24,2023-03-03 19:00,Utrecht,Sittard,0,0,0,1,2,3,1,2,3
24,2023-03-03 19:00,Vitesse,AZ Alkmaar,0,1,1,0,0,0,0,1,1
23,2023-02-26 15:45,PSV,Twente,1,0,1,2,1,3,3,1,4
23,2023-02-26 13:30,FC Emmen,G.A. Eagles,1,1,2,1,1,2,2,2,4
23,2023-02-26 13:30,Vitesse,Ajax,1,1,2,0,1,1,1,2,3
