journée,date_time,home_team,away_team,1st_home_team_goal,1st_away_team_goal,1st_total_goal,2nd_home_team_goal,2nd_away_team_goal,2nd_total_goal,total_home_team_goal,total_away_team_goal,global
34,2023-05-27 19:30,Braga,Paços Ferreira,2,0,2,1,0,1,3,0,3
34,2023-05-27 17:00,Portimonense,Arouca,0,0,0,0,2,2,0,2,2
34,2023-05-27 17:00,Benfica,Santa Clara,2,0,2,1,0,1,3,0,3
34,2023-05-27 17:00,FC Porto,Guimaraes,3,0,3,0,0,0,3,0,3
34,2023-05-27 14:30,Chaves,Boavista,0,2,2,1,2,3,1,4,5
34,2023-05-27 14:30,Estoril,Maritimo,1,0,1,2,1,3,3,1,4
34,2023-05-27 11:45,Gil Vicente,Casa Pia,0,0,0,1,0,1,1,0,1
34,2023-05-26 20:15,Vizela,Sporting,1,1,2,0,1,1,1,2,3
34,2023-05-26 18:00,Rio Ave,Famalicao,0,2,2,2,0,2,2,2,4
34,2023-05-21 19:30,Sporting,Benfica,2,0,2,0,2,2,2,2,4
34,2023-05-21 17:00,Paços Ferreira,Rio Ave,1,1,2,2,0,2,3,1,4
34,2023-05-21 17:00,Casa Pia,Estoril,0,0,0,2,2,4,2,2,4
34,2023-05-21 14:30,Guimaraes,Gil Vicente,0,0,0,1,0,1,1,0,1
34,2023-05-20 19:30,Famalicao,FC Porto,2,2,4,0,2,2,2,4,6
34,2023-05-20 17:00,Boavista,Braga,0,0,0,1,1,2,1,1,2
34,2023-05-20 14:30,Arouca,Chaves,0,0,0,1,0,1,1,0,1
34,2023-05-20 14:30,Santa Clara,Portimonense,1,0,1,0,0,0,1,0,1
34,2023-05-19 19:15,Maritimo,Vizela,0,0,0,1,0,1,1,0,1
34,2023-05-15 19:15,Estoril,Arouca,0,0,0,2,0,2,2,0,2
34,2023-05-14 19:30,FC Porto,Casa Pia,0,1,1,2,0,2,2,1,3
34,2023-05-14 17:00,Braga,Santa Clara,3,1,4,2,2,4,5,3,8
34,2023-05-14 14:30,Rio Ave,Guimaraes,0,0,0,0,1,1,0,1,1
34,2023-05-13 19:30,Sporting,Maritimo,0,1,1,2,0,2,2,1,3
34,2023-05-13 17:00,Portimonense,Benfica,1,3,4,0,2,2,1,5,6
34,2023-05-13 14:30,Chaves,Paços Ferreira,0,0,0,2,0,2,2,0,2
34,2023-05-13 14:30,Vizela,Famalicao,0,0,0,0,0,0,0,0,0
34,2023-05-12 19:15,Gil Vicente,Boavista,1,0,1,2,1,3,3,1,4
34,2023-05-08 20:15,Arouca,FC Porto,0,1,1,0,0,0,0,1,1
34,2023-05-08 18:00,Famalicao,Chaves,0,0,0,1,2,3,1,2,3
34,2023-05-07 19:30,Paços Ferreira,Sporting,0,2,2,0,2,2,0,4,4
34,2023-05-07 17:00,Guimaraes,Vizela,2,0,2,1,0,1,3,0,3
34,2023-05-07 14:30,Maritimo,Rio Ave,1,2,3,1,0,1,2,2,4
34,2023-05-06 19:30,Benfica,Braga,0,0,0,1,0,1,1,0,1
34,2023-05-06 17:00,Boavista,Estoril,0,0,0,1,0,1,1,0,1
34,2023-05-06 14:30,Santa Clara,Gil Vicente,2,0,2,1,2,3,3,2,5
34,2023-05-05 19:15,Casa Pia,Portimonense,0,0,0,1,1,2,1,1,2
34,2023-04-30 19:30,Sporting,Famalicao,1,0,1,1,1,2,2,1,3
34,2023-04-30 17:00,FC Porto,Boavista,0,0,0,1,0,1,1,0,1
