mp,date_time,home_team,away_team,1st_score,1st_concede,1st_global,2nd_score,2nd_concede,2nd_global,total_score,total_concede,global
28,2023-04-03 18:45,Sassuolo,Torino,1,0,1,0,1,1,1,1,2
28,2023-04-03 16:30,Empoli,Lecce,0,0,0,1,0,1,1,0,1
28,2023-04-02 18:45,Napoli,AC Milan,0,2,2,0,2,2,0,4,4
28,2023-04-02 16:00,AS Roma,Sampdoria,0,0,0,3,0,3,3,0,3
28,2023-04-02 13:00,Monza,Lazio,0,1,1,0,1,1,0,2,2
28,2023-04-02 13:00,Spezia,Salernitana,0,1,1,1,0,1,1,1,2
28,2023-04-02 10:30,Bologna,Udinese,2,0,2,1,0,1,3,0,3
28,2023-04-01 18:45,Juventus,Verona,0,0,0,1,0,1,1,0,1
28,2023-04-01 16:00,Inter,Fiorentina,0,0,0,0,1,1,0,1,1
28,2023-04-01 13:00,Cremonese,Atalanta,0,1,1,1,2,3,1,3,4
27,2023-03-19 19:45,Inter,Juventus,0,1,1,0,0,0,0,1,1
27,2023-03-19 17:00,Lazio,AS Roma,0,0,0,1,0,1,1,0,1
27,2023-03-19 14:00,Fiorentina,Lecce,1,0,1,0,0,0,1,0,1
27,2023-03-19 14:00,Torino,Napoli,0,2,2,0,2,2,0,4,4
27,2023-03-19 11:30,Sampdoria,Verona,2,0,2,1,1,2,3,1,4
27,2023-03-18 19:45,Udinese,AC Milan,2,1,3,1,0,1,3,1,4
27,2023-03-18 17:00,Salernitana,Bologna,1,1,2,1,1,2,2,2,4
27,2023-03-18 14:00,Monza,Cremonese,0,0,0,1,1,2,1,1,2
27,2023-03-17 19:45,Atalanta,Empoli,0,1,1,2,0,2,2,1,3
27,2023-03-17 17:30,Sassuolo,Spezia,0,0,0,1,0,1,1,0,1
26,2023-03-13 19:45,AC Milan,Salernitana,1,0,1,0,1,1,1,1,2
26,2023-03-12 19:45,Juventus,Sampdoria,2,2,4,2,0,2,4,2,6
26,2023-03-12 17:00,AS Roma,Sassuolo,1,3,4,2,1,3,3,4,7
26,2023-03-12 14:00,Cremonese,Fiorentina,0,1,1,0,1,1,0,2,2
26,2023-03-12 14:00,Verona,Monza,0,0,0,1,1,2,1,1,2
26,2023-03-12 11:30,Lecce,Torino,0,2,2,0,0,0,0,2,2
26,2023-03-11 19:45,Bologna,Lazio,0,0,0,0,0,0,0,0,0
26,2023-03-11 17:00,Napoli,Atalanta,0,0,0,2,0,2,2,0,2
26,2023-03-11 14:00,Empoli,Udinese,0,0,0,0,1,1,0,1,1
26,2023-03-10 19:45,Spezia,Inter,0,0,0,2,1,3,2,1,3
25,2023-03-06 19:45,Torino,Bologna,1,0,1,0,0,0,1,0,1
25,2023-03-06 17:30,Sassuolo,Cremonese,2,0,2,1,2,3,3,2,5
25,2023-03-05 19:45,AS Roma,Juventus,0,0,0,1,0,1,1,0,1
25,2023-03-05 17:00,Inter,Lecce,1,0,1,1,0,1,2,0,2
25,2023-03-05 14:00,Sampdoria,Salernitana,0,0,0,0,0,0,0,0,0
25,2023-03-05 11:30,Spezia,Verona,0,0,0,0,0,0,0,0,0
25,2023-03-04 19:45,Fiorentina,AC Milan,0,0,0,2,1,3,2,1,3
25,2023-03-04 17:00,Atalanta,Udinese,0,0,0,0,0,0,0,0,0
25,2023-03-04 14:00,Monza,Empoli,1,0,1,1,1,2,2,1,3
25,2023-03-03 19:45,Napoli,Lazio,0,0,0,0,1,1,0,1,1
24,2023-02-28 19:45,Juventus,Torino,2,2,4,2,0,2,4,2,6
24,2023-02-28 17:30,Cremonese,AS Roma,1,0,1,1,1,2,2,1,3
24,2023-02-27 19:45,Lazio,Sampdoria,0,0,0,1,0,1,1,0,1
24,2023-02-27 17:30,Verona,Fiorentina,0,2,2,0,1,1,0,3,3
24,2023-02-26 19:45,AC Milan,Atalanta,1,0,1,1,0,1,2,0,2
24,2023-02-26 17:00,Udinese,Spezia,1,1,2,1,1,2,2,2,4
24,2023-02-26 14:00,Salernitana,Monza,0,0,0,3,0,3,3,0,3
24,2023-02-26 11:30,Bologna,Inter,0,0,0,1,0,1,1,0,1
24,2023-02-25 19:45,Lecce,Sassuolo,0,0,0,0,1,1,0,1,1
24,2023-02-25 17:00,Empoli,Napoli,0,2,2,0,0,0,0,2,2
23,2023-02-20 19:45,Torino,Cremonese,1,0,1,1,2,3,2,2,4
23,2023-02-19 19:45,AS Roma,Verona,1,0,1,0,0,0,1,0,1
23,2023-02-19 17:00,Spezia,Juventus,0,1,1,0,1,1,0,2,2
23,2023-02-19 14:00,Salernitana,Lazio,0,0,0,0,2,2,0,2,2
23,2023-02-19 14:00,Fiorentina,Empoli,0,1,1,1,0,1,1,1,2
23,2023-02-19 11:30,Atalanta,Lecce,0,1,1,1,1,2,1,2,3
23,2023-02-18 19:45,Inter,Udinese,1,1,2,2,0,2,3,1,4
23,2023-02-18 17:00,Monza,AC Milan,0,1,1,0,0,0,0,1,1
23,2023-02-18 14:00,Sampdoria,Bologna,0,1,1,1,1,2,1,2,3
23,2023-02-17 19:45,Sassuolo,Napoli,0,2,2,0,0,0,0,2,2
22,2023-02-13 19:45,Sampdoria,Inter,0,0,0,0,0,0,0,0,0
22,2023-02-13 17:30,Verona,Salernitana,1,0,1,0,0,0,1,0,1
22,2023-02-12 19:45,Napoli,Cremonese,1,0,1,2,0,2,3,0,3
22,2023-02-12 17:00,Juventus,Fiorentina,1,0,1,0,0,0,1,0,1
22,2023-02-12 14:00,Bologna,Monza,0,1,1,0,0,0,0,1,1
22,2023-02-12 11:30,Udinese,Sassuolo,2,2,4,0,0,0,2,2,4
22,2023-02-11 19:45,Lazio,Atalanta,0,1,1,0,1,1,0,2,2
22,2023-02-11 17:00,Lecce,AS Roma,1,1,2,0,0,0,1,1,2
22,2023-02-11 14:00,Empoli,Spezia,0,2,2,2,0,2,2,2,4
22,2023-02-10 19:45,AC Milan,Torino,0,0,0,1,0,1,1,0,1
21,2023-02-07 19:45,Salernitana,Juventus,0,2,2,0,1,1,0,3,3
21,2023-02-06 19:45,Monza,Sampdoria,1,1,2,1,1,2,2,2,4
21,2023-02-06 17:30,Verona,Lazio,0,1,1,1,0,1,1,1,2
21,2023-02-05 19:45,Inter,AC Milan,1,0,1,0,0,0,1,0,1
21,2023-02-05 17:00,Fiorentina,Bologna,1,1,2,0,1,1,1,2,3
21,2023-02-05 14:00,Torino,Udinese,0,0,0,1,0,1,1,0,1
21,2023-02-05 11:30,Spezia,Napoli,0,0,0,0,3,3,0,3,3
21,2023-02-04 19:45,Sassuolo,Atalanta,0,0,0,1,0,1,1,0,1
21,2023-02-04 17:00,AS Roma,Empoli,2,0,2,0,0,0,2,0,2
21,2023-02-04 14:00,Cremonese,Lecce,0,0,0,0,2,2,0,2,2
20,2023-01-30 19:45,Udinese,Verona,1,1,2,0,0,0,1,1,2
20,2023-01-29 19:45,Napoli,AS Roma,1,0,1,1,1,2,2,1,3
20,2023-01-29 17:00,Lazio,Fiorentina,1,0,1,0,1,1,1,1,2
20,2023-01-29 14:00,Juventus,Monza,0,2,2,0,0,0,0,2,2
20,2023-01-29 11:30,AC Milan,Sassuolo,1,3,4,1,2,3,2,5,7
20,2023-01-28 19:45,Atalanta,Sampdoria,1,0,1,1,0,1,2,0,2
20,2023-01-28 17:00,Cremonese,Inter,1,1,2,0,1,1,1,2,3
20,2023-01-28 14:00,Empoli,Torino,1,0,1,1,2,3,2,2,4
20,2023-01-27 19:45,Lecce,Salernitana,1,2,3,0,0,0,1,2,3
20,2023-01-27 17:30,Bologna,Spezia,1,0,1,1,0,1,2,0,2
19,2023-01-24 19:45,Lazio,AC Milan,2,0,2,2,0,2,4,0,4
19,2023-01-23 19:45,Inter,Empoli,0,0,0,0,1,1,0,1,1
19,2023-01-23 17:30,Bologna,Cremonese,0,0,0,1,1,2,1,1,2
19,2023-01-22 19:45,Juventus,Atalanta,2,1,3,1,2,3,3,3,6
19,2023-01-22 17:00,Spezia,AS Roma,0,1,1,0,1,1,0,2,2
19,2023-01-22 14:00,Monza,Sassuolo,0,1,1,1,0,1,1,1,2
19,2023-01-22 11:30,Sampdoria,Udinese,0,0,0,0,1,1,0,1,1
19,2023-01-21 19:45,Fiorentina,Torino,0,1,1,0,0,0,0,1,1
19,2023-01-21 17:00,Salernitana,Napoli,0,1,1,0,1,1,0,2,2
19,2023-01-21 14:00,Verona,Lecce,1,0,1,1,0,1,2,0,2
18,2023-01-16 19:45,Empoli,Sampdoria,0,0,0,1,0,1,1,0,1
18,2023-01-15 19:45,AS Roma,Fiorentina,1,0,1,1,0,1,2,0,2
18,2023-01-15 17:00,Atalanta,Salernitana,5,1,6,3,1,4,8,2,10
18,2023-01-15 14:00,Torino,Spezia,0,1,1,0,0,0,0,1,1
18,2023-01-15 14:00,Udinese,Bologna,1,0,1,0,2,2,1,2,3
18,2023-01-15 11:30,Sassuolo,Lazio,0,1,1,0,1,1,0,2,2
18,2023-01-14 19:45,Inter,Verona,1,0,1,0,0,0,1,0,1
18,2023-01-14 17:00,Lecce,AC Milan,2,0,2,0,2,2,2,2,4
18,2023-01-14 14:00,Cremonese,Monza,0,2,2,2,1,3,2,3,5
18,2023-01-13 19:45,Napoli,Juventus,2,1,3,3,0,3,5,1,6
17,2023-01-09 19:45,Bologna,Atalanta,1,0,1,0,2,2,1,2,3
17,2023-01-09 17:30,Verona,Cremonese,2,0,2,0,0,0,2,0,2
17,2023-01-08 19:45,AC Milan,AS Roma,1,0,1,1,2,3,2,2,4
17,2023-01-08 17:00,Sampdoria,Napoli,0,1,1,0,1,1,0,2,2
17,2023-01-08 14:00,Lazio,Empoli,1,0,1,1,2,3,2,2,4
17,2023-01-08 14:00,Spezia,Lecce,0,0,0,0,0,0,0,0,0
17,2023-01-08 11:30,Salernitana,Torino,0,1,1,1,0,1,1,1,2
17,2023-01-07 19:45,Monza,Inter,1,2,3,1,0,1,2,2,4
17,2023-01-07 17:00,Juventus,Udinese,0,0,0,1,0,1,1,0,1
17,2023-01-07 14:00,Fiorentina,Sassuolo,0,0,0,2,1,3,2,1,3
16,2023-01-04 19:45,Inter,Napoli,0,0,0,1,0,1,1,0,1
16,2023-01-04 19:45,Udinese,Empoli,0,1,1,1,0,1,1,1,2
16,2023-01-04 17:30,Fiorentina,Monza,1,0,1,0,1,1,1,1,2
16,2023-01-04 17:30,Cremonese,Juventus,0,0,0,0,1,1,0,1,1
16,2023-01-04 15:30,AS Roma,Bologna,1,0,1,0,0,0,1,0,1
16,2023-01-04 15:30,Lecce,Lazio,0,1,1,2,0,2,2,1,3
16,2023-01-04 13:30,Spezia,Atalanta,2,0,2,0,2,2,2,2,4
16,2023-01-04 13:30,Torino,Verona,0,1,1,1,0,1,1,1,2
16,2023-01-04 11:30,Salernitana,AC Milan,0,2,2,1,0,1,1,2,3
16,2023-01-04 11:30,Sassuolo,Sampdoria,0,2,2,1,0,1,1,2,3
15,2022-11-13 19:45,Juventus,Lazio,1,0,1,2,0,2,3,0,3
15,2022-11-13 17:00,AC Milan,Fiorentina,1,1,2,1,0,1,2,1,3
15,2022-11-13 14:00,AS Roma,Torino,0,0,0,1,1,2,1,1,2
15,2022-11-13 14:00,Monza,Salernitana,2,0,2,1,0,1,3,0,3
15,2022-11-13 14:00,Verona,Spezia,1,0,1,0,2,2,1,2,3
15,2022-11-13 11:30,Atalanta,Inter,1,1,2,1,2,3,2,3,5
15,2022-11-12 19:45,Bologna,Sassuolo,1,0,1,2,0,2,3,0,3
15,2022-11-12 17:00,Sampdoria,Lecce,0,1,1,0,1,1,0,2,2
15,2022-11-12 14:00,Napoli,Udinese,2,0,2,1,2,3,3,2,5
15,2022-11-11 19:45,Empoli,Cremonese,0,0,0,2,0,2,2,0,2
14,2022-11-10 19:45,Lazio,Monza,0,0,0,1,0,1,1,0,1
14,2022-11-10 17:30,Verona,Juventus,0,0,0,0,1,1,0,1,1
14,2022-11-09 19:45,Fiorentina,Salernitana,1,0,1,1,1,2,2,1,3
14,2022-11-09 19:45,Inter,Bologna,3,1,4,3,0,3,6,1,7
14,2022-11-09 19:45,Torino,Sampdoria,1,0,1,1,0,1,2,0,2
14,2022-11-09 17:30,Lecce,Atalanta,2,1,3,0,0,0,2,1,3
14,2022-11-09 17:30,Sassuolo,AS Roma,0,0,0,1,1,2,1,1,2
14,2022-11-08 19:45,Cremonese,AC Milan,0,0,0,0,0,0,0,0,0
14,2022-11-08 17:30,Napoli,Empoli,0,0,0,2,0,2,2,0,2
14,2022-11-08 17:30,Spezia,Udinese,1,1,2,0,0,0,1,1,2
13,2022-11-06 19:45,Juventus,Inter,0,0,0,2,0,2,2,0,2
13,2022-11-06 17:00,AS Roma,Lazio,0,1,1,0,0,0,0,1,1
13,2022-11-06 14:00,Monza,Verona,0,0,0,2,0,2,2,0,2
13,2022-11-06 14:00,Sampdoria,Fiorentina,0,1,1,0,1,1,0,2,2
13,2022-11-06 11:30,Bologna,Torino,0,1,1,2,0,2,2,1,3
13,2022-11-05 19:45,AC Milan,Spezia,1,0,1,1,1,2,2,1,3
13,2022-11-05 17:00,Atalanta,Napoli,1,2,3,0,0,0,1,2,3
13,2022-11-05 14:00,Salernitana,Cremonese,2,1,3,0,1,1,2,2,4
13,2022-11-05 14:00,Empoli,Sassuolo,0,0,0,1,0,1,1,0,1
13,2022-11-04 19:45,Udinese,Lecce,0,1,1,1,0,1,1,1,2
12,2022-10-31 19:45,Monza,Bologna,0,0,0,1,2,3,1,2,3
12,2022-10-31 17:30,Verona,AS Roma,1,1,2,0,2,2,1,3,4
12,2022-10-30 19:45,Torino,AC Milan,2,0,2,0,1,1,2,1,3
12,2022-10-30 17:00,Lazio,Salernitana,1,0,1,0,3,3,1,3,4
12,2022-10-30 14:00,Cremonese,Udinese,0,0,0,0,0,0,0,0,0
12,2022-10-30 14:00,Spezia,Fiorentina,1,1,2,0,1,1,1,2,3
12,2022-10-30 11:30,Empoli,Atalanta,0,1,1,0,1,1,0,2,2
12,2022-10-29 18:45,Inter,Sampdoria,2,0,2,1,0,1,3,0,3
12,2022-10-29 16:00,Lecce,Juventus,0,0,0,0,1,1,0,1,1
12,2022-10-29 13:00,Napoli,Sassuolo,3,0,3,1,0,1,4,0,4
11,2022-10-24 18:45,Sassuolo,Verona,1,1,2,1,0,1,2,1,3
11,2022-10-24 16:30,Cremonese,Sampdoria,0,0,0,0,1,1,0,1,1
11,2022-10-23 18:45,AS Roma,Napoli,0,0,0,0,1,1,0,1,1
11,2022-10-23 16:00,Atalanta,Lazio,0,1,1,0,1,1,0,2,2
11,2022-10-23 13:00,Bologna,Lecce,2,0,2,0,0,0,2,0,2
11,2022-10-23 10:30,Udinese,Torino,1,1,2,0,1,1,1,2,3
11,2022-10-22 18:45,Fiorentina,Inter,1,2,3,2,2,4,3,4,7
11,2022-10-22 16:00,AC Milan,Monza,2,0,2,2,1,3,4,1,5
11,2022-10-22 13:00,Salernitana,Spezia,0,0,0,1,0,1,1,0,1
11,2022-10-21 18:45,Juventus,Empoli,1,0,1,3,0,3,4,0,4
10,2022-10-17 18:45,Lecce,Fiorentina,1,0,1,0,1,1,1,1,2
10,2022-10-17 16:30,Sampdoria,AS Roma,0,1,1,0,0,0,0,1,1
10,2022-10-16 18:45,Verona,AC Milan,1,1,2,0,1,1,1,2,3
10,2022-10-16 16:00,Napoli,Bologna,1,1,2,2,1,3,3,2,5
10,2022-10-16 13:00,Lazio,Udinese,0,0,0,0,0,0,0,0,0
10,2022-10-16 13:00,Spezia,Cremonese,2,1,3,0,1,1,2,2,4
10,2022-10-16 10:30,Inter,Salernitana,1,0,1,1,0,1,2,0,2
