mp,date_time,home_team,away_team,1st_score,1st_concede,1st_global,2nd_score,2nd_concede,2nd_global,total_score,total_concede,global
23,2023-02-05 16:00,Galatasaray,Trabzonspor,1,1,2,1,0,1,2,1,3
23,2023-02-05 13:00,Hatayspor,Kasimpasa,0,0,0,1,0,1,1,0,1
23,2023-02-05 10:30,Istanbulspor,Alanyaspor,0,0,0,2,1,3,2,1,3
23,2023-02-04 16:00,Antalyaspor,Gaziantep,1,0,1,0,0,0,1,0,1
23,2023-02-04 13:00,Sivasspor,Besiktas,1,0,1,0,0,0,1,0,1
23,2023-02-04 10:30,Ankaragucu,Karagumruk,0,1,1,0,1,1,0,2,2
22,2023-02-02 17:00,Adana Demirspor,Fenerbahce,0,0,0,1,1,2,1,1,2
22,2023-02-02 14:00,Kayserispor,Basaksehir,0,0,0,1,0,1,1,0,1
22,2023-02-02 14:00,Konyaspor,Istanbulspor,0,0,0,0,1,1,0,1,1
22,2023-02-01 17:00,Galatasaray,Umraniyespor,1,2,3,2,0,2,3,2,5
22,2023-02-01 17:00,Trabzonspor,Antalyaspor,1,0,1,1,0,1,2,0,2
22,2023-02-01 14:00,Gaziantep,Hatayspor,1,1,2,3,0,3,4,1,5
22,2023-02-01 14:00,Kasimpasa,Giresunspor,3,1,4,2,0,2,5,1,6
22,2023-01-31 17:00,Karagumruk,Besiktas,0,1,1,1,0,1,1,1,2
22,2023-01-31 14:00,Alanyaspor,Sivasspor,0,2,2,0,1,1,0,3,3
21,2023-01-29 16:00,Basaksehir,Konyaspor,1,0,1,1,0,1,2,0,2
21,2023-01-29 16:00,Fenerbahce,Kasimpasa,2,1,3,3,0,3,5,1,6
21,2023-01-29 10:30,Istanbulspor,Kayserispor,2,1,3,0,3,3,2,4,6
21,2023-01-28 16:00,Antalyaspor,Umraniyespor,1,1,2,2,1,3,3,2,5
21,2023-01-28 16:00,Giresunspor,Galatasaray,0,1,1,0,3,3,0,4,4
21,2023-01-28 13:00,Ankaragucu,Gaziantep,0,0,0,0,2,2,0,2,2
21,2023-01-28 13:00,Hatayspor,Trabzonspor,0,1,1,2,0,2,2,1,3
21,2023-01-28 10:30,Sivasspor,Adana Demirspor,0,1,1,1,1,2,1,2,3
21,2023-01-27 17:00,Besiktas,Alanyaspor,1,0,1,2,0,2,3,0,3
20,2023-01-23 17:00,Konyaspor,Ankaragucu,0,0,0,0,1,1,0,1,1
20,2023-01-23 17:00,Umraniyespor,Fenerbahce,0,0,0,1,2,3,1,2,3
20,2023-01-22 16:00,Trabzonspor,Istanbulspor,1,0,1,3,0,3,4,0,4
20,2023-01-22 13:00,Alanyaspor,Karagumruk,1,0,1,1,2,3,2,2,4
20,2023-01-22 13:00,Kayserispor,Besiktas,0,2,2,0,0,0,0,2,2
20,2023-01-22 10:30,Gaziantep,Sivasspor,0,1,1,1,1,2,1,2,3
20,2023-01-21 16:00,Galatasaray,Antalyaspor,0,0,0,2,1,3,2,1,3
20,2023-01-21 13:00,Kasimpasa,Basaksehir,1,0,1,0,3,3,1,3,4
20,2023-01-20 17:00,Adana Demirspor,Giresunspor,0,1,1,1,0,1,1,1,2
19,2023-01-15 16:00,Gaziantep,Fenerbahce,0,1,1,1,1,2,1,2,3
19,2023-01-15 13:00,Kasimpasa,Karagumruk,1,0,1,1,2,3,2,2,4
19,2023-01-15 10:30,Umraniyespor,Istanbulspor,0,2,2,0,0,0,0,2,2
19,2023-01-14 16:00,Trabzonspor,Basaksehir,1,0,1,0,0,0,1,0,1
19,2023-01-14 13:00,Adana Demirspor,Ankaragucu,0,0,0,3,1,4,3,1,4
19,2023-01-14 13:00,Konyaspor,Besiktas,1,0,1,0,2,2,1,2,3
19,2023-01-14 10:30,Antalyaspor,Giresunspor,1,1,2,1,1,2,2,2,4
19,2023-01-13 17:00,Galatasaray,Hatayspor,3,0,3,1,0,1,4,0,4
19,2023-01-13 16:00,Kayserispor,Sivasspor,3,0,3,1,1,2,4,1,5
18,2023-01-09 17:00,Alanyaspor,Trabzonspor,3,0,3,2,0,2,5,0,5
18,2023-01-09 17:00,Istanbulspor,Gaziantep,0,1,1,1,0,1,1,1,2
18,2023-01-09 14:00,Basaksehir,Adana Demirspor,0,0,0,2,1,3,2,1,3
18,2023-01-08 16:00,Fenerbahce,Galatasaray,0,1,1,0,2,2,0,3,3
18,2023-01-08 13:00,Ankaragucu,Kayserispor,1,1,2,1,0,1,2,1,3
18,2023-01-08 13:00,Giresunspor,Umraniyespor,0,0,0,0,1,1,0,1,1
18,2023-01-08 10:30,Karagumruk,Konyaspor,2,0,2,1,3,4,3,3,6
18,2023-01-07 16:00,Besiktas,Kasimpasa,2,0,2,0,1,1,2,1,3
18,2023-01-07 13:00,Hatayspor,Antalyaspor,0,0,0,0,0,0,0,0,0
17,2023-01-05 17:00,Adana Demirspor,Istanbulspor,1,0,1,5,0,5,6,0,6
17,2023-01-05 17:00,Trabzonspor,Giresunspor,1,0,1,2,0,2,3,0,3
17,2023-01-05 14:00,Gaziantep,Basaksehir,0,1,1,1,0,1,1,1,2
17,2023-01-04 17:00,Galatasaray,Ankaragucu,2,1,3,0,0,0,2,1,3
17,2023-01-04 17:00,Konyaspor,Sivasspor,1,1,2,1,1,2,2,2,4
17,2023-01-04 14:00,Kasimpasa,Alanyaspor,2,0,2,2,1,3,4,1,5
17,2023-01-04 14:00,Kayserispor,Karagumruk,0,2,2,2,2,4,2,4,6
17,2023-01-03 17:00,Antalyaspor,Fenerbahce,1,0,1,0,2,2,1,2,3
17,2023-01-03 14:00,Umraniyespor,Hatayspor,1,1,2,1,1,2,2,2,4
16,2022-12-29 17:00,Besiktas,Adana Demirspor,1,0,1,0,0,0,1,0,1
16,2022-12-29 14:00,Giresunspor,Gaziantep,1,0,1,1,1,2,2,1,3
16,2022-12-29 14:00,Sivasspor,Galatasaray,0,1,1,1,1,2,1,2,3
16,2022-12-28 17:00,Karagumruk,Trabzonspor,2,1,3,2,0,2,4,1,5
16,2022-12-28 14:00,Alanyaspor,Kayserispor,2,0,2,1,1,2,3,1,4
16,2022-12-28 14:00,Istanbulspor,Kasimpasa,1,1,2,1,0,1,2,1,3
16,2022-12-27 17:00,Fenerbahce,Hatayspor,2,0,2,2,0,2,4,0,4
16,2022-12-27 14:00,Ankaragucu,Umraniyespor,1,1,2,0,1,1,1,2,3
16,2022-12-27 14:00,Basaksehir,Antalyaspor,0,0,0,2,0,2,2,0,2
15,2022-12-25 16:00,Galatasaray,Istanbulspor,2,0,2,0,1,1,2,1,3
15,2022-12-25 13:00,Gaziantep,Besiktas,0,0,0,1,1,2,1,1,2
15,2022-12-25 13:00,Konyaspor,Alanyaspor,1,0,1,1,2,3,2,2,4
